year,country,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty gap at $2.15 a day (2017 PPP) (%),Poverty headcount ratio at $3.65 a day (2017 PPP) (% of population),Poverty gap at $3.65 a day (2017 PPP) (%),Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Poverty gap at $6.85 a day (2017 PPP) (%)
2014,YEM,19.8,4.8,54.4,18.3,85.4,44.2
2014,ZAF,20.5,6.9,40.0,16.6,61.6,33.4
2015,ALB,0.1,0.0,3.5,0.6,25.4,6.5
2015,ARM,1.1,0.2,9.4,2.1,46.7,14.2
2015,AUT,0.7,0.5,0.7,0.6,1.0,0.7
2015,BEL,0.1,0.1,0.2,0.1,0.2,0.1
2015,BEN,50.7,22.9,78.1,40.6,91.8,62.8
2015,BGR,3.4,1.4,6.1,2.8,14.1,6.1
2015,BLR,0.0,0.0,0.1,0.0,4.1,0.7
2015,BOL,4.6,2.1,8.6,4.0,20.5,8.8
2015,BRA,3.9,1.3,9.3,3.4,25.3,9.9
2015,BWA,15.4,4.1,38.0,13.6,63.5,31.8
2015,CAN,0.2,0.1,0.5,0.3,1.0,0.5
2015,CHE,0.0,0.0,0.0,0.0,0.1,0.0
2015,CHL,0.4,0.2,1.5,0.5,9.7,2.5
2015,CHN,0.6,0.0,9.9,1.9,37.7,12.2
2015,CIV,33.4,11.2,63.2,27.2,87.9,51.0
2015,COL,4.9,1.8,13.0,4.6,34.6,13.7
2015,CPV,4.6,1.0,19.3,5.3,50.9,19.7
2015,CRI,1.6,0.6,4.4,1.5,14.8,5.1
2015,CYP,0.0,0.0,0.1,0.0,0.1,0.1
2015,CZE,0.0,0.0,0.0,0.0,0.4,0.1
2015,DEU,0.0,0.0,0.0,0.0,0.2,0.1
2015,DNK,0.2,0.1,0.3,0.2,0.4,0.2
2015,DOM,2.5,0.6,8.8,2.6,30.4,10.6
2015,EAS,2.3,0.4,15.1,3.6,44.0,16.0
2015,ECS,0.8,0.3,3.2,0.9,14.5,4.3
2015,ECU,3.4,1.2,9.5,3.3,28.8,10.5
2015,EGY,0.9,0.1,13.2,2.3,64.5,20.0
2015,ESP,0.9,0.6,1.5,0.8,3.5,1.6
2015,EST,0.6,0.4,0.9,0.5,2.3,1.0
2015,ETH,27.0,7.6,65.0,23.5,90.9,51.0
2015,FCS,31.1,10.9,56.6,24.8,80.2,46.2
2015,FIN,0.1,0.1,0.1,0.1,0.2,0.1
2015,FRA,0.1,0.1,0.2,0.1,0.3,0.2
2015,GBR,0.2,0.2,0.5,0.2,0.7,0.4
2015,GEO,4.9,1.2,20.0,5.5,56.2,21.3
2015,GMB,13.4,3.0,44.6,13.6,81.2,38.0
2015,GRC,1.4,0.8,2.8,1.3,7.8,3.1
2015,HND,13.0,4.3,28.6,11.1,53.2,25.4
2015,HRV,0.6,0.3,1.3,0.5,5.8,1.7
2015,HUN,0.6,0.3,1.3,0.6,3.9,1.5
2015,IDA,27.8,9.5,57.1,23.4,85.3,47.1
2015,IDN,8.5,1.5,38.4,10.5,76.9,34.1
2015,IND,18.8,3.8,61.0,19.1,88.9,47.3
2015,IRL,0.4,0.2,0.5,0.3,0.8,0.5
2015,IRN,0.4,0.1,4.0,0.8,23.0,6.2
2015,ISL,0.0,0.0,0.0,0.0,0.1,0.1
2015,ISR,0.5,0.2,0.7,0.4,5.0,1.4
2015,ITA,1.9,1.3,2.6,1.7,3.9,2.4
2015,KAZ,0.0,0.0,0.7,0.1,17.2,3.0
2015,KEN,29.4,8.6,59.6,23.9,85.7,48.0
2015,KGZ,2.2,0.4,21.1,4.2,73.8,25.9
2015,LCA,0.1,0.0,0.6,0.1,8.4,2.3
2015,LCN,4.1,1.3,10.8,3.7,29.2,11.3
2015,LMY,12.8,3.6,35.0,12.1,62.0,30.0
2015,LTU,0.7,0.5,1.4,0.7,4.8,1.8
2015,LUX,0.3,0.2,0.4,0.2,0.7,0.4
2015,LVA,0.7,0.3,1.6,0.7,4.9,1.8
2015,MDA,0.0,0.0,0.9,0.1,17.7,3.3
2015,MEA,3.7,0.9,13.1,3.8,43.8,15.3
2015,MKD,5.5,2.1,10.1,4.5,28.8,10.9
2015,MLT,0.1,0.1,0.1,0.1,0.3,0.1
2015,MMR,6.2,1.4,30.0,7.9,72.8,29.7
2015,MNE,1.3,0.2,8.0,2.0,21.3,7.8
2015,MYS,0.0,0.0,0.4,0.1,4.8,1.0
2015,NAM,15.6,5.4,33.3,13.3,57.3,28.8
2015,NGA,32.3,9.4,63.3,25.8,89.5,50.8
2015,NLD,0.1,0.0,0.1,0.0,0.4,0.2
2015,NOR,0.2,0.1,0.2,0.1,0.4,0.2
2015,PAK,5.1,0.7,40.0,9.2,83.8,36.1
2015,PAN,1.5,0.4,5.6,1.7,15.4,5.8
2015,PER,4.7,1.3,12.8,4.4,32.7,12.8
2015,PHL,6.5,1.3,27.1,7.5,60.1,25.2
2015,POL,0.4,0.2,0.9,0.4,3.4,1.1
2015,PRT,0.5,0.3,1.2,0.5,3.6,1.3
2015,PRY,1.9,0.4,7.1,2.1,22.6,8.1
2015,ROU,5.3,1.7,12.2,4.6,27.4,11.6
2015,RUS,0.3,0.1,0.8,0.3,3.4,1.1
2015,SAS,16.6,3.2,56.9,17.4,87.5,45.0
2015,SLV,2.3,0.5,11.5,2.9,40.2,13.5
2015,SRB,6.6,3.8,11.6,5.9,27.2,12.0
2015,SSF,38.2,13.9,65.7,30.0,87.5,53.0
2015,SVK,0.7,0.3,1.2,0.5,4.3,1.4
2015,SVN,0.0,0.0,0.0,0.0,0.3,0.0
2015,SWE,0.6,0.3,0.8,0.4,1.1,0.7
2015,TGO,54.7,23.5,77.4,41.7,94.2,63.2
2015,THA,0.0,0.0,0.8,0.1,14.6,2.8
2015,TJK,6.1,1.4,25.7,7.0,66.4,26.2
2015,TON,1.8,0.4,13.9,2.8,47.9,15.8
2015,TUN,0.1,0.0,2.2,0.4,17.9,4.4
2015,UKR,0.1,0.0,0.9,0.2,15.0,3.1
2015,URY,0.1,0.0,0.8,0.2,6.0,1.5
2015,USA,1.2,0.8,1.2,1.0,2.2,1.3
2015,XKX,0.8,0.1,3.8,0.9,35.7,8.8
2015,ZMB,60.8,31.8,78.0,47.7,91.0,65.5
2016,ALB,0.1,0.0,4.7,0.7,25.5,6.9
2016,ARG,0.7,0.3,2.3,0.8,9.2,3.0
2016,ARM,1.1,0.2,9.5,1.9,42.4,13.7
2016,AUS,0.5,0.3,0.5,0.4,1.0,0.6
2016,AUT,0.7,0.5,0.9,0.6,1.3,0.8
2016,BEL,0.1,0.1,0.1,0.1,0.3,0.1
2016,BGD,13.5,2.4,51.6,15.0,86.9,42.4
2016,BGR,2.0,0.7,4.8,1.8,10.4,4.5
2016,BLR,0.0,0.0,0.1,0.0,4.6,0.8
2016,BOL,5.6,2.5,10.1,4.7,22.0,9.8
2016,BRA,4.7,1.7,10.6,4.1,27.0,11.0
2016,CAN,0.2,0.1,0.5,0.2,1.0,0.4
2016,CHE,0.0,0.0,0.1,0.0,0.1,0.1
2016,CHN,0.1,0.0,7.8,1.4,34.1,10.5
2016,COL,4.9,1.8,12.9,4.6,34.3,13.5
2016,CRI,1.3,0.5,4.1,1.4,14.2,4.7
2016,CYP,0.0,0.0,0.1,0.0,0.1,0.1
2016,CZE,0.0,0.0,0.1,0.0,0.7,0.2
2016,DEU,0.0,0.0,0.2,0.0,0.2,0.1
2016,DNK,0.3,0.2,0.3,0.2,0.5,0.3
2016,DOM,2.0,0.6,8.0,2.3,28.7,9.8
2016,EAS,1.7,0.3,12.8,2.9,40.6,14.2
2016,ECS,0.7,0.2,2.7,0.8,13.8,3.9
2016,ECU,3.6,1.2,9.5,3.3,28.2,10.3
2016,ESP,1.1,0.7,1.7,1.0,3.5,1.7
2016,EST,0.5,0.3,0.7,0.4,1.8,0.8
2016,FCS,31.4,11.2,56.5,25.0,80.2,46.3
2016,FIN,0.0,0.0,0.1,0.0,0.2,0.1
2016,FRA,0.1,0.0,0.1,0.1,0.3,0.1
2016,GBR,0.2,0.2,0.5,0.3,0.7,0.4
2016,GEO,4.9,1.2,20.1,5.6,56.3,20.9
2016,GHA,25.2,9.3,48.8,20.7,78.5,41.8
2016,GRC,1.0,0.5,2.0,0.9,6.4,2.3
2016,HND,14.6,5.5,28.3,12.0,50.5,25.0
2016,HRV,0.6,0.3,1.3,0.6,4.7,1.6
2016,HUN,1.3,0.8,1.9,1.1,3.3,1.8
2016,IDA,27.6,9.6,56.3,23.1,84.9,46.7
2016,IDN,6.7,1.1,34.1,8.9,71.5,30.7
2016,IND,18.1,3.6,59.9,18.7,88.7,46.7
2016,IRL,0.1,0.1,0.4,0.2,0.8,0.4
2016,IRN,0.4,0.1,4.2,0.8,23.1,6.3
2016,ISL,0.0,0.0,0.1,0.0,0.2,0.1
2016,ISR,0.2,0.1,1.0,0.3,4.0,1.2
2016,ITA,1.6,1.1,2.3,1.5,3.4,2.1
2016,KAZ,0.1,0.0,1.3,0.2,23.8,4.6
2016,KGZ,1.1,0.2,17.0,3.0,71.3,23.6
2016,KOR,0.2,0.1,0.2,0.1,1.0,0.4
2016,LBR,27.6,7.5,60.6,22.9,88.9,48.7
2016,LCN,4.3,1.5,10.9,3.9,29.0,11.4
2016,LKA,1.3,0.2,13.8,2.7,52.8,17.4
2016,LMY,12.4,3.6,34.0,11.8,60.8,29.3
2016,LTU,1.3,0.7,2.2,1.1,4.9,2.2
2016,LUX,0.1,0.1,0.1,0.1,0.5,0.2
2016,LVA,0.6,0.3,1.5,0.6,4.6,1.6
2016,MDA,0.1,0.0,1.1,0.2,17.7,3.3
2016,MDV,0.0,0.0,0.3,0.0,5.5,1.0
2016,MEA,4.4,1.2,14.5,4.4,44.4,16.2
2016,MEX,2.3,0.6,8.9,2.5,31.4,10.6
2016,MKD,4.2,1.7,9.7,3.8,24.9,9.9
2016,MLT,0.1,0.1,0.2,0.1,0.3,0.2
2016,MNE,2.5,1.4,5.9,2.4,17.3,6.7
2016,MNG,0.7,0.1,8.5,1.6,41.9,12.3
2016,MWI,65.7,26.0,87.3,47.7,96.8,69.2
2016,NLD,0.0,0.0,0.2,0.0,0.4,0.1
2016,NOR,0.3,0.2,0.4,0.2,0.7,0.4
2016,PAN,1.5,0.4,5.8,1.7,14.5,5.8
2016,PER,4.6,1.2,12.4,4.2,31.8,12.6
2016,POL,0.2,0.1,0.6,0.2,2.4,0.8
2016,PRT,0.4,0.2,0.7,0.3,3.6,1.1
2016,PRY,1.7,0.3,7.2,2.0,23.7,8.1
2016,PSE,0.5,0.1,3.1,0.7,20.5,5.3
2016,ROU,3.2,1.1,8.9,3.1,21.8,8.6
2016,RUS,0.3,0.1,0.8,0.3,3.5,1.0
2016,RWA,52.0,18.3,78.0,38.5,92.2,61.2
2016,SAS,15.7,3.1,55.6,16.8,87.1,44.4
2016,SLV,2.6,0.6,12.0,3.2,38.7,13.4
2016,SRB,6.4,3.9,11.0,5.8,24.6,11.3
2016,SSD,67.3,32.0,86.5,50.9,96.6,70.5
2016,SSF,38.0,13.9,65.4,29.9,87.5,52.9
2016,SVK,1.4,1.1,2.1,1.3,4.3,2.1
2016,SVN,0.0,0.0,0.0,0.0,0.2,0.0
2016,SWE,0.3,0.2,0.5,0.3,0.9,0.5
2016,SWZ,36.1,12.8,58.0,27.4,78.1,47.4
2016,THA,0.0,0.0,1.0,0.1,15.7,3.2
2016,UGA,42.9,13.8,71.3,32.4,90.0,56.0
2016,UKR,0.1,0.0,0.7,0.1,15.4,2.8
2016,URY,0.1,0.0,0.7,0.1,5.6,1.3
2016,USA,1.0,0.8,1.2,1.0,2.0,1.3
2016,VNM,1.3,0.2,6.4,1.6,27.1,8.3
2016,XKX,0.8,0.2,4.7,0.9,35.0,8.5
2017,ALB,0.4,0.0,3.6,0.7,25.5,6.6
2017,ARG,0.6,0.2,2.4,0.7,8.2,2.6
2017,ARM,0.8,0.1,8.1,1.6,48.7,13.8
2017,AUT,0.3,0.2,0.4,0.3,0.7,0.4
2017,BEL,0.1,0.1,0.2,0.1,0.4,0.2
2017,BGR,1.4,0.5,3.5,1.2,9.4,3.6
2017,BLR,0.0,0.0,0.1,0.0,3.3,0.6
2017,BOL,4.9,2.1,9.2,4.1,21.0,9.1
2017,BRA,5.3,2.0,11.0,4.5,27.1,11.2
2017,BTN,0.9,0.2,9.4,1.9,39.5,12.6
2017,CAN,0.2,0.1,0.5,0.2,0.7,0.4
2017,CHE,0.0,0.0,0.0,0.0,0.1,0.0
2017,CHL,0.4,0.2,1.0,0.4,7.5,1.9
2017,CHN,0.0,0.0,6.9,1.1,31.9,9.6
2017,COL,4.3,1.7,12.1,4.2,33.7,13.0
2017,CRI,1.2,0.4,3.1,1.0,12.9,4.1
2017,CYP,0.0,0.0,0.1,0.0,0.1,0.0
2017,CZE,0.0,0.0,0.1,0.0,0.5,0.1
2017,DEU,0.2,0.1,0.2,0.2,0.5,0.3
2017,DJI,19.1,6.4,43.8,16.5,78.5,38.4
2017,DNK,0.1,0.1,0.2,0.1,0.3,0.2
2017,DOM,1.0,0.3,5.4,1.4,25.5,7.5
2017,EAS,1.2,0.2,10.9,2.4,38.1,12.8
2017,ECS,0.7,0.2,2.7,0.8,12.5,3.7
2017,ECU,3.2,1.0,8.9,3.0,27.1,9.7
2017,EGY,2.5,0.4,22.0,4.5,72.6,26.2
2017,ESP,0.7,0.5,1.1,0.7,2.5,1.2
2017,EST,0.3,0.2,0.6,0.3,1.3,0.6
2017,FCS,31.1,11.3,55.9,24.9,79.9,46.1
2017,FIN,0.1,0.1,0.1,0.1,0.1,0.1
2017,FRA,0.0,0.0,0.0,0.0,0.1,0.0
2017,GAB,2.5,0.6,8.1,2.5,31.2,10.4
2017,GBR,0.2,0.2,0.5,0.3,0.7,0.4
2017,GEO,6.2,1.6,20.1,6.0,53.9,21.0
2017,GRC,0.9,0.4,1.6,0.7,5.3,1.8
2017,HND,13.9,5.0,27.5,11.4,51.2,24.6
2017,HRV,0.5,0.3,1.1,0.5,4.2,1.4
2017,HUN,0.6,0.4,1.5,0.6,4.0,1.6
2017,IDA,27.0,9.4,55.1,22.6,84.2,46.0
2017,IDN,4.3,0.7,26.3,6.3,65.2,25.9
2017,IND,13.4,2.5,54.4,15.7,85.4,43.0
2017,IRL,0.2,0.2,0.3,0.2,0.5,0.3
2017,IRN,0.3,0.1,3.7,0.7,21.6,5.8
2017,ISL,0.0,0.0,0.0,0.0,0.0,0.0
2017,ISR,0.5,0.2,1.2,0.4,4.2,1.4
2017,ITA,1.4,1.0,1.8,1.3,3.3,1.9
2017,KAZ,0.0,0.0,0.7,0.1,18.8,3.3
2017,KGZ,1.3,0.2,17.3,3.1,70.3,23.5
2017,KOR,0.2,0.1,0.2,0.1,1.0,0.4
2017,LCN,4.3,1.5,10.6,3.9,28.4,11.1
2017,LMY,11.3,3.4,32.2,11.0,59.3,28.1
2017,LSO,32.4,11.6,54.7,25.1,81.0,46.0
2017,LTU,1.0,0.7,1.5,0.9,4.4,1.9
2017,LUX,0.3,0.2,0.4,0.2,0.9,0.4
2017,LVA,0.8,0.3,1.5,0.7,4.5,1.6
2017,MDA,0.0,0.0,0.7,0.1,17.5,3.3
2017,MEA,4.7,1.3,15.0,4.6,44.7,16.6
2017,MKD,4.5,1.8,9.2,3.8,23.1,9.1
2017,MLT,0.2,0.1,0.2,0.1,0.3,0.2
2017,MMR,2.0,0.3,19.6,4.0,68.2,23.5
2017,MNE,3.3,1.6,7.0,3.0,17.2,7.0
2017,MUS,0.1,0.0,1.8,0.3,13.5,3.1
2017,NLD,0.2,0.1,0.3,0.1,0.4,0.2
2017,NOR,0.3,0.2,0.3,0.2,0.6,0.3
2017,PAN,2.1,0.7,5.3,1.9,14.0,5.5
2017,PER,4.5,1.2,12.4,4.1,32.6,12.6
2017,POL,0.3,0.2,0.6,0.3,1.7,0.6
2017,PRT,0.4,0.2,0.7,0.3,2.3,0.8
2017,PRY,1.0,0.2,5.2,1.3,21.0,6.7
2017,QAT,0.0,0.0,0.0,0.0,0.0,0.0
2017,ROU,3.3,1.3,6.7,2.9,16.3,6.8
2017,RUS,0.3,0.1,0.8,0.3,3.3,1.0
2017,SAS,12.6,2.3,51.7,14.7,84.9,41.8
2017,SLV,2.2,0.5,9.7,2.5,36.3,12.0
2017,SRB,5.4,3.0,9.0,4.7,21.7,9.6
2017,SSF,37.5,13.8,64.8,29.6,87.4,52.6
2017,STP,15.7,3.9,45.0,15.1,79.7,38.5
2017,SVK,0.2,0.1,1.3,0.4,2.7,1.1
2017,SVN,0.0,0.0,0.0,0.0,0.1,0.0
2017,SWE,0.2,0.1,0.3,0.2,0.8,0.3
2017,THA,0.0,0.0,0.8,0.1,15.1,3.1
2017,TUR,0.3,0.1,1.8,0.5,10.3,2.8
2017,UKR,0.0,0.0,0.6,0.1,10.8,2.2
2017,URY,0.1,0.0,0.5,0.1,4.6,1.1
2017,USA,1.2,0.9,1.5,1.1,2.0,1.4
2017,XKX,0.4,0.2,4.2,0.8,34.2,8.5
2017,ZWE,34.2,9.4,61.6,25.9,84.1,48.8
2018,AGO,31.1,11.9,52.9,24.5,78.0,44.5
2018,ALB,0.0,0.0,2.7,0.5,18.2,4.6
2018,ARE,0.0,0.0,0.0,0.0,0.4,0.1
2018,ARG,1.0,0.4,2.9,1.0,10.4,3.4
2018,ARM,1.3,0.2,9.4,2.1,48.9,14.4
2018,AUS,0.5,0.4,0.7,0.4,1.0,0.6
2018,AUT,0.6,0.4,0.7,0.5,1.2,0.7
2018,BEL,0.1,0.1,0.1,0.1,0.2,0.1
2018,BEN,20.1,4.8,53.2,18.2,83.6,43.1
2018,BFA,31.2,8.4,63.1,25.2,87.2,49.8
2018,BGR,0.9,0.3,2.3,0.8,8.0,2.8
2018,BLR,0.0,0.0,0.1,0.0,1.9,0.4
2018,BOL,3.3,1.3,7.7,3.0,19.1,7.8
2018,BRA,5.3,2.0,10.9,4.5,26.7,11.1
2018,CAN,0.2,0.1,0.5,0.2,0.7,0.4
2018,CHE,0.0,0.0,0.0,0.0,0.2,0.1
2018,CHN,0.0,0.0,4.9,0.7,27.9,7.9
2018,CIV,11.5,2.4,39.7,12.0,75.6,34.5
2018,COL,4.5,1.7,12.2,4.3,33.9,13.1
2018,CRI,1.5,0.6,4.0,1.4,13.9,4.8
2018,CYP,0.0,0.0,0.1,0.0,0.2,0.1
2018,CZE,0.0,0.0,0.0,0.0,0.2,0.1
2018,DEU,0.0,0.0,0.2,0.1,0.2,0.1
2018,DNK,0.2,0.1,0.2,0.2,0.3,0.2
2018,DOM,0.8,0.2,4.2,0.9,22.2,6.3
2018,EAS,1.2,0.2,9.3,2.0,35.0,11.5
2018,ECS,0.4,0.1,2.1,0.5,11.4,3.1
2018,ECU,3.3,1.0,9.7,3.1,27.8,10.3
2018,ESP,0.8,0.5,1.2,0.7,2.7,1.3
2018,EST,0.2,0.2,0.5,0.3,1.1,0.5
2018,FCS,30.9,11.3,55.5,24.8,79.7,45.9
2018,FIN,0.1,0.0,0.1,0.1,0.2,0.1
2018,FRA,0.0,0.0,0.1,0.0,0.1,0.1
2018,GBR,0.5,0.3,0.5,0.4,0.7,0.5
2018,GEO,5.6,1.5,19.6,5.8,53.9,20.5
2018,GIN,13.8,3.1,46.6,14.3,86.8,40.8
2018,GNB,21.7,4.7,56.8,19.5,87.2,45.7
2018,GRC,0.1,0.1,0.3,0.1,3.7,0.8
2018,GRD,0.3,0.0,1.3,0.3,13.8,3.7
2018,HND,14.2,5.1,27.2,11.6,51.3,24.6
2018,HRV,0.4,0.2,0.7,0.4,2.7,1.0
2018,HUN,0.2,0.1,0.7,0.2,2.8,1.0
2018,IDA,26.4,9.3,53.9,22.2,83.5,45.3
2018,IDN,4.4,0.7,25.4,6.2,64.6,25.6
2018,IND,11.1,2.2,46.9,13.1,82.7,39.3
2018,IRL,0.0,0.0,0.1,0.0,0.1,0.1
2018,IRN,0.7,0.1,4.3,0.9,24.4,6.7
2018,ISR,0.5,0.2,1.0,0.4,3.2,1.0
2018,ITA,1.5,0.9,2.1,1.3,3.2,1.9
2018,JAM,0.1,0.0,0.6,0.1,9.1,1.9
2018,KAZ,0.0,0.0,0.5,0.1,14.3,2.4
2018,KGZ,0.7,0.1,13.2,2.2,66.1,20.7
2018,KOR,0.2,0.0,0.2,0.1,0.7,0.3
2018,LAO,7.1,1.2,32.5,8.7,70.5,30.0
2018,LCN,4.2,1.5,10.4,3.8,27.9,10.9
2018,LMY,10.5,3.2,29.9,10.1,57.5,26.7
2018,LTU,0.9,0.4,1.3,0.7,2.9,1.4
2018,LUX,0.3,0.1,0.4,0.2,0.7,0.3
2018,LVA,0.4,0.2,0.9,0.4,3.0,1.1
2018,MDA,0.0,0.0,0.6,0.1,14.6,2.6
2018,MEA,4.7,1.3,15.1,4.6,45.1,16.7
2018,MEX,1.9,0.5,7.8,2.1,28.8,9.4
2018,MKD,3.4,1.2,7.1,2.8,20.8,7.8
2018,MLI,15.2,3.0,48.2,15.2,81.0,39.6
2018,MLT,0.1,0.1,0.2,0.1,0.3,0.2
2018,MNE,2.8,1.0,6.3,2.4,18.5,6.9
2018,MNG,0.7,0.1,6.9,1.3,38.3,10.9
2018,MYS,0.0,0.0,0.2,0.0,3.4,0.6
2018,NER,50.9,15.5,81.2,37.6,95.0,62.1
2018,NGA,30.9,9.0,63.5,25.1,90.8,50.9
2018,NLD,0.1,0.1,0.2,0.1,0.4,0.2
2018,NOR,0.3,0.2,0.3,0.2,0.5,0.3
2018,PAK,4.9,0.6,39.8,9.0,84.5,36.3
2018,PAN,1.4,0.4,4.4,1.4,12.5,4.7
2018,PER,3.6,1.0,10.7,3.4,30.3,11.3
2018,PHL,3.0,0.5,18.3,4.3,53.5,19.7
2018,POL,0.2,0.1,0.4,0.2,1.4,0.5
2018,PRT,0.3,0.2,0.7,0.3,2.1,0.8
2018,PRY,1.4,0.3,5.8,1.6,19.6,6.6
2018,ROU,2.7,0.9,5.7,2.2,13.0,5.5
2018,RUS,0.1,0.1,0.4,0.1,2.6,0.7
2018,SAS,10.1,1.9,45.7,12.4,82.3,38.6
2018,SEN,9.2,1.8,37.6,10.7,74.4,33.1
2018,SLE,26.1,6.0,64.3,23.1,89.9,49.9
2018,SLV,1.8,0.4,9.0,2.3,33.0,10.8
2018,SRB,2.9,1.4,5.9,2.6,17.2,6.6
2018,SSF,36.9,13.6,64.2,29.3,87.3,52.2
2018,SVK,0.2,0.1,1.3,0.3,3.4,1.3
2018,SVN,0.0,0.0,0.0,0.0,0.1,0.0
2018,SWE,0.7,0.6,0.9,0.7,1.4,0.9
2018,SYC,0.5,0.1,1.2,0.4,6.7,2.0
2018,TCD,30.9,8.4,64.6,25.3,89.4,50.9
2018,TGO,28.4,8.5,56.9,23.0,84.0,46.4
2018,THA,0.0,0.0,0.9,0.1,15.6,3.3
2018,TUR,0.4,0.1,1.8,0.4,9.6,2.6
2018,TZA,44.9,13.6,74.3,33.6,92.3,58.0
2018,UKR,0.0,0.0,0.5,0.1,9.4,1.7
2018,URY,0.1,0.0,0.4,0.1,4.9,1.1
2018,USA,1.0,0.8,1.2,0.9,1.7,1.2
2018,VNM,1.2,0.2,5.3,1.4,22.2,6.9
2019,ALB,0.0,0.0,1.2,0.2,14.9,3.2
2019,ARG,1.1,0.4,3.4,1.1,12.0,4.1
2019,ARM,1.0,0.1,9.8,1.9,52.1,15.2
2019,AUT,0.6,0.4,0.7,0.5,0.8,0.7
2019,BEL,0.1,0.1,0.1,0.1,0.2,0.1
2019,BGR,0.9,0.3,2.8,1.0,7.2,2.8
2019,BLR,0.0,0.0,0.0,0.0,2.4,0.3
2019,BOL,1.9,0.6,5.7,1.9,15.5,5.7
2019,BRA,5.4,2.1,10.8,4.5,26.2,11.0
2019,CAN,0.2,0.1,0.5,0.2,0.7,0.4
2019,CHE,0.0,0.0,0.0,0.0,0.2,0.0
2019,CHN,0.0,0.0,2.5,0.2,24.6,6.3
2019,COL,5.3,2.0,13.7,5.0,34.8,14.0
2019,CRI,1.1,0.4,3.5,1.1,13.7,4.3
2019,CYP,0.2,0.1,0.2,0.2,0.3,0.2
2019,CZE,0.0,0.0,0.0,0.0,0.3,0.1
2019,DEU,0.2,0.1,0.2,0.2,0.5,0.2
2019,DNK,0.3,0.2,0.3,0.2,0.4,0.3
2019,DOM,0.8,0.2,3.5,0.9,20.2,5.6
2019,EAS,1.0,0.2,7.2,1.5,32.4,10.2
2019,ECS,0.5,0.1,2.0,0.5,10.8,3.0
2019,ECU,3.6,1.1,9.9,3.3,29.7,10.9
2019,EGY,1.5,0.3,17.6,3.4,68.8,23.2
2019,ESP,0.8,0.5,1.1,0.7,2.8,1.2
2019,EST,0.6,0.3,0.9,0.5,1.4,0.8
2019,FIN,0.0,0.0,0.1,0.0,0.2,0.1
2019,FJI,1.3,0.2,12.4,2.6,52.6,16.4
2019,FRA,0.1,0.0,0.1,0.0,0.4,0.1
2019,GBR,0.5,0.2,0.5,0.3,0.7,0.5
2019,GEO,4.8,1.1,18.5,5.2,54.2,19.9
2019,GRC,0.7,0.4,1.3,0.7,3.9,1.5
2019,HND,12.7,4.3,26.4,10.8,49.5,24.0
2019,HRV,0.3,0.2,0.6,0.3,2.4,0.7
2019,HUN,0.3,0.1,0.9,0.3,2.5,0.9
2019,IDA,26.2,9.3,53.6,22.1,83.3,45.2
2019,IDN,3.4,0.5,23.4,5.4,63.7,24.5
2019,IND,13.2,2.8,44.0,13.4,80.7,37.9
2019,IRL,0.1,0.0,0.1,0.1,0.2,0.1
2019,IRN,0.7,0.1,5.6,1.2,29.1,8.4
2019,ISR,0.7,0.3,1.2,0.6,4.0,1.5
2019,ITA,1.0,0.8,1.3,0.9,2.6,1.3
2019,KAZ,0.0,0.0,0.5,0.1,14.4,2.4
2019,KGZ,0.7,0.2,11.7,2.0,63.7,19.4
2019,KIR,1.7,0.3,19.5,3.8,68.9,23.9
2019,KOR,0.0,0.0,0.2,0.1,0.5,0.2
2019,LCN,4.2,1.5,10.2,3.8,27.2,10.7
2019,LKA,1.0,0.1,11.3,2.1,49.3,15.6
2019,LMY,10.7,3.3,28.2,9.9,56.1,25.7
2019,LTU,0.5,0.3,0.7,0.4,1.6,0.8
2019,LUX,0.1,0.1,0.1,0.1,0.3,0.1
2019,LVA,0.2,0.2,0.8,0.3,2.6,0.9
2019,MDA,0.0,0.0,0.4,0.1,14.7,2.6
2019,MDV,0.0,0.0,0.0,0.0,3.9,0.5
2019,MHL,0.9,0.2,6.1,1.4,31.5,8.8
2019,MKD,2.7,1.1,7.5,2.7,19.0,7.3
2019,MLT,0.3,0.1,0.4,0.2,0.7,0.4
2019,MNE,2.0,0.6,4.2,1.5,15.2,5.2
2019,MOZ,74.5,37.5,88.6,56.2,96.1,73.6
2019,MRT,5.4,1.4,25.8,6.8,68.0,26.4
2019,MWI,70.1,29.3,89.1,50.9,97.3,71.3
2019,NLD,0.1,0.0,0.1,0.1,0.4,0.1
2019,NOR,0.2,0.1,0.3,0.2,0.5,0.2
2019,PAN,1.0,0.3,3.7,1.1,12.1,4.3
2019,PER,3.0,0.8,9.6,3.0,28.8,10.4
2019,POL,0.1,0.0,0.2,0.1,0.8,0.2
2019,PRT,0.1,0.1,0.2,0.1,1.5,0.4
2019,PRY,1.0,0.2,5.1,1.3,19.7,6.2
2019,ROU,2.2,0.7,4.7,1.8,10.9,4.6
2019,RUS,0.2,0.1,0.5,0.2,2.7,0.7
2019,SAS,10.6,2.1,42.1,12.0,80.4,36.8
2019,SLV,1.4,0.3,6.6,1.6,28.8,8.8
2019,SRB,2.3,1.2,4.0,1.9,12.0,4.5
2019,SSF,36.7,13.6,63.9,29.1,87.3,52.1
2019,SVK,0.1,0.0,0.5,0.1,2.0,0.6
