year,country,Fertilizer consumption (% of fertilizer production),Fertilizer consumption (kilograms per hectare of arable land),Agricultural land (sq. km),Agricultural land (% of land area),Arable land (hectares per person),Arable land (% of land area),Land under cereal production (hectares),Permanent cropland (% of land area),Forest area (sq. km),Forest area (% of land area),Cereal production (metric tons),Crop production index (2014-2016 = 100),Food production index (2014-2016 = 100),Livestock production index (2014-2016 = 100),Cereal yield (kg per hectare),"Access to electricity, rural (% of rural population)","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","Agriculture, forestry, and fishing, value added (current US$)","Agriculture, forestry, and fishing, value added (% of GDP)",Rural population,Rural population growth (annual %),Rural population (% of total population),Agricultural raw materials imports (% of merchandise imports)
1960,ERI,,,,,,,,,,,,,,,,,,,,877247.0,,90.201,
1960,ESP,,,,,,,,,,,,,,,,,,,,13227520.0,,43.433,
1960,EST,,,,,,,,,,,,,,,,,,,,514503.0,,42.467,
1960,ETH,,,,,,,,,,,,,,,,,,,,20001530.0,,93.567,
1960,EUU,,,,,,,,,,,,,,,,,,,,147792378.0,,41.316148721491,
1960,FCS,,,,,,,,,,,,,,,,,,,,190091961.0,,77.7594271581416,
1960,FIN,,,,,,,,,,,,,,,,,,,,1980489.0,,44.71,
1960,FJI,,,,,,,,,,,,,,,,,,,,284712.0,,70.319,
1960,FRA,,,,,,,,,,,,,,,,,,6095192439.27564,9.86965750039441,18073822.0,,38.12,
1960,FRO,,,,,,,,,,,,,,,,,,,,26830.0,,78.617,
1960,FSM,,,,,,,,,,,,,,,,,,,,33453.0,,77.688,
1960,GAB,,,,,,,,,,,,,,,,,,45533967.6627552,32.1865389648732,423183.0,,82.602,
1960,GBR,,,,,,,,,,,,,,,,,,,,11295344.0,,21.556,
1960,GEO,,,,,,,,,,,,,,,,,,,,2075477.0,,56.931,
1960,GHA,,,,,,,,,,,,,,,,,,497257403.584668,40.8515535097814,5342593.0,,76.748,
1960,GIB,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,GIN,,,,,,,,,,,,,,,,,,,,3184286.0,,89.528,
1960,GMB,,,,,,,,,,,,,,,,,,,,349779.0,,87.871,
1960,GNB,,,,,,,,,,,,,,,,,,,,499075.0,,86.4,
1960,GNQ,,,,,,,,,,,,,,,,,,,,200906.0,,74.463,
1960,GRC,,,,,,,,,,,,,,,,,,,,3671291.0,,44.064,
1960,GRD,,,,,,,,,,,,,,,,,,,,65528.0,,69.668,
1960,GRL,,,,,,,,,,,,,,,,,,,,13476.0,,41.466,
1960,GTM,,,,,,,,,,,,,,,,,,,,2799005.0,,68.879,
1960,GUM,,,,,,,,,,,,,,,,,,,,34660.0,,49.853,
1960,GUY,,,,,,,,,,,,,,,,,,40133233.0002508,23.5777930089102,404040.0,,70.991,
1960,HKG,,,,,,,,,,,,,,,,,,,,460971.0,,14.8,
1960,HND,,,,,,,,,,,,,,,,,,113500000.0,33.8149858483539,1593003.0,,77.253,
1960,HPC,,,,,,,,,,,,,,,,,,,,143326969.0,,87.5811256325377,
1960,HRV,,,,,,,,,,,,,,,,,,,,2891751.0,,69.846,
1960,HTI,,,,,,,,,,,,,,,,,,,,3256796.0,,84.407,
1960,HUN,,,,,,,,,,,,,,,,,,,,4401831.0,,44.089,
1960,IBD,,,,,,,,,,,,,,,,,,84634160096.4192,26.6578714136442,1399589660.0,,73.9076379651821,
1960,IBT,,,,,,,,,,,,,,,,,,104327078412.019,28.8282163316212,1740100361.0,,76.0465736780594,
1960,IDA,,,,,,,,,,,,,,,,,,,,340510701.0,,86.3139464999033,
1960,IDB,,,,,,,,,,,,,,,,,,,,98309262.0,,81.3806287499224,
1960,IDN,,,,,,,,,,,,,,,,,,,,75417205.0,,85.414,
1960,IDX,,,,,,,,,,,,,,,,,,,,242201439.0,,88.4913380314634,
1960,IMN,,,,,,,,,,,,,,,,,,,,21930.0,,44.877,
1960,IND,,,,,,,,,,,,,,,,,,15456767924.5679,41.7413351234112,357843430.0,,82.076,
1960,IRL,,,,,,,,,,,,,,,,,,,,1550525.0,,54.816,
1960,IRN,,,,,,,,,,,,,,,,,,1087601066.13861,25.9006015324091,14227383.0,,66.265,
1960,IRQ,,,,,,,,,,,,,,,,,,,,4009662.0,,57.101,
1960,ISL,,,,,,,,,,,,,,,,,,,,34588.0,,19.7,
1960,ISR,,,,,,,,,,,,,,,,,,,,489438.0,,23.152,
1960,ITA,,,,,,,,,,,,,,,,,,,,20400656.0,,40.639,
1960,JAM,,,,,,,,,,,,,,,,,,,,1092815.0,,66.231,
1960,JOR,,,,,,,,,,,,,,,,,,,,419233.0,,49.121,
1960,JPN,,,,,,,,,,,,,,,,,,,,34236372.0,,36.728,
1960,KAZ,,,,,,,,,,,,,,,,,,,,5262118.0,,55.802,
1960,KEN,,,,,,,,,,,,,,,,,,279691874.12325,35.3474135345391,7128778.0,,92.638,
1960,KGZ,,,,,,,,,,,,,,,,,,,,1429786.0,,65.819,
1960,KHM,,,,,,,,,,,,,,,,,,,,4889437.0,,89.715,
1960,KIR,,,,,,,,,,,,,,,,,,,,39475.0,,83.71,
1960,KNA,,,,,,,,,,,,,,,,,,,,40382.0,,72.356,
1960,KOR,,,,,,,,,,,,,,,,,,1447920792.07921,36.5746298519408,18081445.0,,72.29,
1960,KWT,,,,,,,,,,,,,,,,,,,,78098.0,,25.107,
1960,LAC,,,,,,,,,,,,,,,,,,,,100965370.0,,51.9948533536549,
1960,LAO,,,,,,,,,,,,,,,,,,,,1952938.0,,92.054,
1960,LBN,,,,,,,,,,,,,,,,,,,,1034601.0,,57.657,
1960,LBR,,,,,,,,,,,,,,,,,,,,927206.0,,81.368,
1960,LBY,,,,,,,,,,,,,,,,,,,,1084988.0,,72.677,
1960,LCA,,,,,,,,,,,,,,,,,,,,72716.0,,78.54,
1960,LCN,,,,,,,,,,,,,,,,,,,,110499064.0,,50.5437934641245,
1960,LDC,,,,,,,,,,,,,,,,,,,,221398195.0,,90.3486913161257,
1960,LIE,,,,,,,,,,,,,,,,,,,,13089.0,,79.563,
1960,LKA,,,,,,,,,,,,,,,,,,452628709.243698,32.1041969304128,8073926.0,,83.569,
1960,LMY,,,,,,,,,,,,,,,,,,86329168005.1039,31.1679980000436,1651122418.0,,78.4219435650578,
1960,LSO,,,,,,,,,,,,,,,,,,30494227.8023089,88.1846153846154,710634.0,,96.488,
1960,LTE,,,,,,,,,,,,,,,,,,45677626923.3179,24.9550569113331,807691799.0,,73.7698880056287,
1960,LTU,,,,,,,,,,,,,,,,,,,,1682134.0,,60.54,
1960,LUX,,,,,,,,,,,,,,,,,,,,95585.0,,30.444,
1960,LVA,,,,,,,,,,,,,,,,,,,,999681.0,,47.133,
1960,MAC,,,,,,,,,,,,,,,,,,,,8165.0,,4.711,
1960,MAR,,,,,,,,,,,,,,,,,,,,8212201.0,,70.643,
1960,MCO,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,MDA,,,,,,,,,,,,,,,,,,,,1575949.0,,76.576,
1960,MDG,,,,,,,,,,,,,,,,,,,,4567113.0,,89.358,
1960,MDV,,,,,,,,,,,,,,,,,,,,81000.0,,88.827,
1960,MEA,,,,,,,,,,,,,,,,,,,,67118104.0,,65.0438309166732,
1960,MEX,,,,,,,,,,,,,,,,,,,,18085771.0,,49.247,
1960,MHL,,,,,,,,,,,,,,,,,,,,9471.0,,64.416,
1960,MIC,,,,,,,,,,,,,,,,,,81494375623.8288,30.8934132763722,1533330494.0,,77.8613669218356,
1960,MKD,,,,,,,,,,,,,,,,,,,,946852.0,,65.98,
1960,MLI,,,,,,,,,,,,,,,,,,,,4804704.0,,88.934,
1960,MLT,,,,,,,,,,,,,,,,,,,,32234.0,,9.871,
1960,MMR,,,,,,,,,,,,,,,,,,,,17552392.0,,80.774,
1960,MNA,,,,,,,,,,,,,,,,,,,,64331147.0,,66.2260738696318,
1960,MNE,,,,,,,,,,,,,,,,,,,,390288.0,,81.212,
1960,MNG,,,,,,,,,,,,,,,,,,,,628799.0,,64.321,
1960,MNP,,,,,,,,,,,,,,,,,,,,4262.0,,48.781,
1960,MOZ,,,,,,,,,,,,,,,,,,,,6252598.0,,93.132,
1960,MRT,,,,,,,,,,,,,,,,,,,,767586.0,,93.12,
1960,MUS,,,,,,,,,,,,,,,,,,,,439093.0,,64.889,
1960,MWI,,,,,,,,,,,,,,,,,,,,3468859.0,,95.61,
1960,MYS,,,,,,,,,,,,,,,,,,837697584.623124,43.7159324923287,5840008.0,,73.402,
1960,NAC,,,,,,,,,,,,,,,,,,,,59749503.0,,30.0819309194095,
1960,NAM,,,,,,,,,,,,,,,,,,,,485540.0,,82.091,
1960,NCL,,,,,,,,,,,,,,,,,,,,49999.0,,62.64,
1960,NER,,,,,,,,,,,,,,,,,,338601936.830704,75.3240700268051,3302002.0,,94.207,
1960,NGA,,,,,,,,,,,,,,,,,,,,38110994.0,,84.59,
1960,NIC,,,,,,,,,,,,,,,,,,,,1076890.0,,60.419,
1960,NLD,,,,,,,,,,,,,,,,,,,,4623139.0,,40.248,
1960,NOR,,,,,,,,,,,,,,,,,,,,1793484.0,,50.08,
1960,NPL,,,,,,,,,,,,,,,,,,,,9771355.0,,96.52,
1960,NRU,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,NZL,,,,,,,,,,,,,,,,,,,,569279.0,,24.002,
1960,OED,,,,,,,,,,,,,,,,,,,,306497182.0,,37.8587580230702,
1960,OMN,,,,,,,,,,,,,,,,,,,,443485.0,,83.6,
1960,OSS,,,,,,,,,,,,,,,,,,,,3402968.0,,62.3385416139618,
1960,PAK,,,,,,,,,,,,,,,,,,1619277614.44771,43.1892012994287,35605724.0,,77.896,
1960,PAN,,,,,,,,,,,,,,,,,,,,661539.0,,58.751,
1960,PER,,,,,,,,,,,,,,,,,,490079650.552247,19.0545182413966,5411516.0,,53.189,
1960,PHL,,,,,,,,,,,,,,,,,,1781882353.72938,23.7081886401864,19441489.0,,69.703,
1960,PLW,,,,,,,,,,,,,,,,,,,,4028.0,,43.177,
1960,PNG,,,,,,,,,,,,,,,,,,,,1920792.0,,96.275,
1960,POL,,,,,,,,,,,,,,,,,,,,15443482.0,,52.108,
1960,PRE,,,,,,,,,,,,,,,,,,,,163542105.0,,86.5667424827342,
1960,PRI,,,,,,,,,,,,,,,,,,164000000.0,9.69324428157693,1307582.0,,55.453,
1960,PRK,,,,,,,,,,,,,,,,,,,,7010912.0,,59.805,
1960,PRT,,,,,,,,,,,,,,,,,,,,5761501.0,,65.045,
1960,PRY,,,,,,,,,,,,,,,,,,,,1213567.0,,64.431,
1960,PSE,,,,,,,,,,,,,,,,,,,,,,55.956,
1960,PSS,,,,,,,,,,,,,,,,,,,,710962.0,,77.9461097191159,
1960,PST,,,,,,,,,,,,,,,,,,,,277906381.0,,36.7416656539363,
1960,PYF,,,,,,,,,,,,,,,,,,,,48294.0,,57.719,
1960,QAT,,,,,,,,,,,,,,,,,,,,5302.0,,14.725,
1960,ROU,,,,,,,,,,,,,,,,,,,,12110087.0,,65.791,
1960,RUS,,,,,,,,,,,,,,,,,,,,55475143.0,,46.269,
1960,RWA,,,,,,,,,,,,,,,,,,,,2943714.0,,97.4,
1960,SAS,,,,,,,,,,,,,,,,,,20546835435.5953,43.4629875033526,469034728.0,,83.3596965154784,
1960,SAU,,,,,,,,,,,,,,,,,,,,1674340.0,,68.75,
1960,SDN,,,,,,,,,,,,,,,,,,579264792.013971,51.4278429372769,7465641.0,,89.254,
1960,SEN,,,,,,,,,,,,,,,,,,233727366.310634,23.2867533108269,2572498.0,,77.0,
1960,SGP,,,,,,,,,,,,,,,,,,26100704.9477006,3.70353202929452,0.0,,0.0,
1960,SLB,,,,,,,,,,,,,,,,,,,,131631.0,,94.232,
1960,SLE,,,,,,,,,,,,,,,,,,,,1874751.0,,82.648,
1960,SLV,,,,,,,,,,,,,,,,,,,,1720823.0,,61.646,
1960,SMR,,,,,,,,,,,,,,,,,,,,7884.0,,51.1,
1960,SOM,,,,,,,,,,,,,,,,,,116298011.720795,64.4453355124116,2378381.0,,82.688,
1960,SRB,,,,,,,,,,,,,,,,,,,,4709435.0,,70.936,
1960,SSA,,,,,,,,,,,,,,,,,,,,194351138.0,,85.3685450731515,
1960,SSD,,,,,,,,,,,,,,,,,,,,2675106.0,,91.252,
1960,SSF,,,,,,,,,,,,,,,,,,,,194381298.0,,85.3661567321213,
1960,SST,,,,,,,,,,,,,,,,,,,,5203556.0,,64.3656059756236,
1960,STP,,,,,,,,,,,,,,,,,,,,57080.0,,83.927,
1960,SUR,,,,,,,,,,,,,,,,,,9500000.0,9.5333667837431,139190.0,,52.74,
1960,SVK,,,,,,,,,,,,,,,,,,,,2706748.0,,66.536,
1960,SVN,,,,,,,,,,,,,,,,,,,,1137766.0,,71.796,
1960,SWE,,,,,,,,,,,,,,,,,,,,2059029.0,,27.51,
1960,SWZ,,,,,,,,,,,,,,,,,,11059995.5760018,31.5307584544341,331824.0,,96.087,
1960,SXM,,,,,,,,,,,,,,,,,,,,0.0,,0.0,
1960,SYC,,,,,,,,,,,,,,,,,,,,30160.0,,72.327,
