year,country,Employment in agriculture (% of total employment) (modeled ILO estimate),"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Contributing family workers, total (% of total employment) (modeled ILO estimate)",GDP per person employed (constant 2021 PPP $),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)","Labor force, total","Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Share of youth not in education, employment or training, female (% of female youth population) (modeled ILO estimate)","Share of youth not in education, employment or training, male (% of male youth population)  (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
1993,VNM,72.4659182136852,69.056,1.23885135456817,83.5271178412599,76.228,82.2882664866918,16.4728851624603,46.184558961811,6041.49826502323,9.72556540452046,17.8085193855145,73.519,70.456,71.98,80.396,85.332,82.785,90.9974894372666,81.655,77.814,33984777.0,4.885,,4.062,,,,2.283,,2.038
1993,VUT,68.1222426174605,54.985,1.88870640517824,77.2002705052652,70.618,75.3115641000869,22.7997294947348,3.98834251119054,7882.01538872844,4.89002672849644,26.9877306540431,64.518,63.347,63.88,75.119,80.214,77.836,93.0508240204151,79.549,77.0,67718.0,12.348,,13.925,,,,6.186,,8.288
1993,WSM,45.6337828749425,47.385,2.6795511663304,51.9397543449789,55.141,49.2602031786486,48.0584758061662,19.3462178329971,12119.5930840601,10.6615695019645,43.704647623093,41.52,57.626,50.198,45.886,71.649,59.379,62.5765716189014,69.053,56.666,58063.0,4.783,,5.603,,,,2.349,,2.69
1993,YEM,54.6891544887622,26.834,5.96562305689035,51.2780295599824,40.479,45.3124065030921,48.7219704400176,17.2267483759181,,11.2501008140573,34.0607446971806,15.436,48.608,32.289,17.192,74.572,45.741,22.7742700377733,72.538,44.164,3354882.0,19.346,,16.893,,,,9.387,,8.344
1993,ZAF,22.0947398928893,27.043,5.31412474310139,16.2890961638266,47.932,10.9749714207252,83.7109115156776,2.33330215454634,33213.9404131452,27.2269064637926,50.6783536433181,40.806,54.402,47.802,53.145,76.311,65.105,67.8955473900357,74.024,62.394,16950635.0,40.169,,43.427,,,,20.688,,23.179
1993,ZMB,68.5189196753697,27.465,0.432961844338859,80.102733784539,48.102,79.6697240143815,19.8972662154611,10.7791875423544,9493.94687513264,7.81473603896944,23.6663442856609,38.164,46.083,42.068,51.228,69.448,59.857,74.2264771187174,69.358,59.903,2598449.0,30.823,,34.712,,,,18.926,19.7,19.7
1993,ZWE,65.6116119504183,51.253,0.307967652921353,70.9103751279457,63.919,70.6024074750244,29.0896248720543,1.25635783561237,10740.2270507372,12.4765126710501,21.9118753785317,50.503,66.796,57.569,60.852,76.95,68.419,78.6469038208169,75.9,67.276,3868412.0,15.226,,10.972,,,,6.774,,4.99
1994,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45,
1994,AFE,66.5082655590006,50.2817599088909,2.5978438694893,74.9113567739391,66.4651033907667,72.3135129044363,25.0886440141622,30.5240920814845,8233.9671028342,9.76139521671395,23.7303408004698,55.77878254957,60.1546758603595,57.9571851782127,67.6360286486865,79.5108029194668,73.4706204476014,85.4475823449376,78.8521121707775,72.3534621314161,138130895.0,14.8096801081399,,15.2334119698638,,,,8.02763653109075,,8.13829095077232
1994,AFG,67.9074307118956,34.507,0.282191151409949,92.9395674631837,43.311,92.6573763117738,7.06043253681626,38.1025072043964,,9.0963346866484,22.996234601456,13.701,62.456,38.384,15.854,81.551,48.053,19.241971573934,79.997,46.986,3933565.0,9.328,,10.099,,,,7.322,,7.822
1994,AFW,57.7431286608399,58.9951118810278,9.15042279806175,87.4146109693673,73.1990532763119,78.26419137611,12.58538903063,22.0699740690352,7534.74904088985,10.9152549640998,31.3416163750694,59.014452696967,68.7093205198636,63.8803503985362,70.9554985582242,83.9800518000633,77.3985704846498,84.1935638264417,83.5964773597949,76.5631555670444,97911180.0,8.06405924269172,,7.76487227520223,,,,4.49357406960119,,4.39378131016295
1994,AGO,40.1682879771349,34.446,1.54247650547614,76.0585108675916,63.965,74.5160343621154,23.941510903732,18.2090996294956,13706.2622740619,7.87679956318016,51.9549342310085,59.747,56.91,58.35,76.181,79.533,77.808,94.9405772495756,79.515,77.439,5560765.0,40.316,,40.967,,,,15.316,,17.4
1994,ALB,53.0618998559431,37.331,3.56690170682865,67.0891145631241,50.157,63.5222128562955,32.9108854368759,28.4821400696647,12634.4261613137,11.0231605988841,35.9149395451728,50.643,60.823,55.681,57.758,79.3,68.573,70.5710023786166,74.413,63.358,1389340.0,37.691,,32.955,,,,22.233,18.4,20.835
1994,ARB,32.1692680992716,26.3039937923333,7.74097649344455,41.0355452291819,41.9195291733008,33.2945621409116,58.9644646630845,12.5376876135525,47284.1102524327,21.9677247212318,45.8630105830701,18.2412243384577,52.5482842062017,35.8512103706571,21.2057552277201,77.1118677317826,49.9033714344122,27.6300424376951,75.1852270177561,48.1973337782009,69736848.0,25.2499413806338,,27.1716610733936,,,,11.7583951847516,,13.0251716620291
1994,ARE,8.76815022208858,48.091,2.65136696842587,2.86759143886483,74.42,0.216224470438959,97.1324085611352,0.0156638768173836,182163.413961492,29.1353618709753,62.0964091939873,22.581,65.666,50.251,31.793,92.058,76.638,34.0475356736409,91.384,75.812,1294197.0,4.288,,4.298,,,,1.77,,1.836
1994,ARG,1.2274863313785,35.072,5.30181400358679,29.7343826248387,54.716,24.4325686212519,70.2656173751614,1.49720389938911,56342.6298445891,28.3768806701435,70.395632998478,39.784,54.541,47.26,55.664,82.12,68.821,63.9384946688376,76.156,62.008,15116051.0,22.624,,25.788,,,,10.266,11.76,11.76
1994,ARM,52.9494430162811,41.398,0.490291527648635,68.7016353990045,59.924,68.211343871356,31.2983646009955,0.516837134678846,7854.16776118179,14.30042480264,32.750132181079,41.536,47.788,44.647,64.536,77.298,70.576,80.2804337524043,71.746,64.159,1468125.0,6.161,,7.276,,,,4.876,6.6,6.6
1994,AUS,4.90144817364308,58.678,5.81913202256513,16.3057075962897,56.943,10.4865755737246,83.6942924037103,0.684292885871243,84183.2118268659,23.9838645140162,71.1146873123407,68.142,72.941,70.588,62.791,83.525,73.249,71.4169491525424,73.75,63.077,8799524.0,17.409,16.88,16.872,,,,9.983,9.724,9.724
1994,AUT,7.19650551448788,59.23,6.51647469162243,17.0919070483749,56.619,10.5754323567525,82.9081200272272,6.4192191288046,97906.0556892352,32.4630512795659,60.3404432059462,59.216,65.338,62.32,61.261,80.525,70.936,68.3729589154007,70.367,58.694,3827748.0,4.701,4.963,4.958,,,,3.21,3.535,3.535
1994,AZE,43.7748288463947,54.134,9.73933455696134,66.3308316131738,72.997,56.5914970562125,33.6691683868262,38.6144591437146,9857.98811436055,19.4889356070302,36.7362083144978,57.52,65.024,61.247,77.952,87.592,82.538,86.1429811316268,84.109,77.905,3912686.0,10.068,,11.614,,,,5.817,0.65,6.3
1994,BDI,91.9809943124746,73.491,0.547692323275636,86.9975301722464,84.795,86.4498378489708,13.0024698277536,49.5677801431251,3148.12962259356,2.28176294718148,5.73720053549512,79.304,73.567,76.431,89.218,87.483,88.372,101.368412572362,86.889,87.504,2445092.0,5.005,,3.847,,,,3.949,,3.095
1994,BEL,2.88841875318558,27.502,3.6584616849003,17.7215428829257,45.384,14.0630811980254,82.2784571170743,2.37832712812699,116699.849221261,28.8777532251962,68.2338280216182,32.981,37.333,35.198,51.298,72.113,61.787,65.5426420036012,61.09,50.229,4162431.0,20.566,21.847,21.866,,,,7.697,9.645,9.645
1994,BEN,56.0697024714652,63.679,1.08663774616753,91.3310125734667,71.03,90.2443748272992,8.66898742653328,23.8491980749051,5723.88012679611,16.7944864577135,27.135768690254,55.029,74.452,64.69,59.632,86.776,72.774,67.4656034661566,86.782,72.078,2394402.0,2.187,,1.563,,,,2.091,,1.455
1994,BFA,54.1605586337148,73.647,3.20327181784679,81.8919079325021,79.914,78.6886361146553,18.1080920674979,29.3379818894917,2727.83256843685,17.9762312773982,27.8631866302871,72.833,80.539,76.687,78.681,88.811,83.546,86.2773722627737,88.365,82.03,4375696.0,3.728,,3.964,,,,2.461,2.58,2.58
1994,BGD,63.6422385555105,42.905,0.27146090050654,67.187573807791,55.915,66.9161129072845,32.812426192209,24.8991096492871,6880.40152331004,10.508277748763,25.8494836957265,19.969,71.548,45.833,26.411,88.42,58.094,29.6072091903419,87.222,57.273,40831150.0,6.594,,6.389,,,,2.45,,2.371
1994,BGR,15.2157190331082,32.1,4.90688114833013,16.6567198112939,45.568,11.7498067308438,83.3432801887061,1.93122268406712,35343.5455926816,40.5834573097891,44.2008236571027,43.651,41.968,42.791,58.879,67.047,62.933,83.578010581269,57.082,52.257,3602723.0,27.463,,24.984,,,,12.975,12.8,12.8
1994,BHR,2.11105364615168,42.584,2.14122274985503,4.91442945131412,65.555,2.77320670145909,95.0855705486859,0.0599464008651088,119759.793492924,28.6018775369474,69.287068816901,24.328,59.163,44.282,32.354,88.386,67.773,35.7783070426749,86.913,66.224,242849.0,1.923,,3.836,,,,0.419,,1.009
1994,BHS,5.43047047702694,43.053,1.72083987704033,15.8879965464113,63.431,14.1664123614656,84.1120034535887,0.395971805616547,64746.8280072936,12.9137421568554,81.6565316740229,50.54,65.17,57.864,71.007,85.557,78.246,81.2229543666404,81.344,73.612,155918.0,22.978,24.65,25.596,,,,12.631,13.83,13.83
1994,BIH,24.0390448210662,22.257,1.88958934574829,28.5222764030651,41.661,26.6326870573168,71.4777235969349,9.79780978630056,8565.98610751273,33.6126411069622,42.3483140719716,28.888,46.036,37.493,46.52,71.042,58.321,62.2788674349386,65.515,52.327,1451447.0,37.12,,40.636,,,,17.884,,20.383
1994,BLR,22.0433888940068,35.695,0.492973639021832,4.54143557004159,51.583,4.04846193101976,95.4585644299584,0.0761345485616078,22358.2442019343,36.3161309221785,41.6404801838147,42.316,49.675,46.02,65.056,74.156,69.455,78.7990306076654,66.846,59.155,4704094.0,25.669,,22.434,,,,15.747,2.1,12.8
1994,BLZ,27.4474006062003,36.818,5.98755694205647,31.7209351791127,49.846,25.7333782370562,68.2790648208873,4.09982806600847,35771.7727600181,17.8580924189517,54.694506974848,32.664,60.648,46.765,36.005,79.456,57.972,44.2305459143517,77.503,56.07,63461.0,17.094,21.53,21.269,,,,9.089,11.1,11.1
1994,BOL,42.7353386178214,50.449,3.21959553300599,68.7857406871904,67.642,65.5661768269064,31.2142593128096,21.5561695136749,13514.0436462247,18.8011494664255,38.4635119157531,45.525,60.462,53.085,58.703,83.14,70.917,70.0715363278018,82.196,69.792,3257636.0,4.769,,4.966,,,,3.254,3.08,3.08
1994,BRA,17.543960134644,55.334,4.14549669015178,38.0748139773826,61.147,33.9293172872308,61.9251860226174,7.69025512234891,32419.6249660158,23.5778303188933,58.8782080046929,48.353,77.753,63.133,51.177,86.938,68.951,57.2172102706454,83.578,65.452,69427335.0,10.494,,12.353,,,,5.575,,6.578
1994,BRB,5.30779573683864,36.24,0.665707596400666,13.034893232913,52.94,12.3691856365123,86.9641665021203,0.0949667616334283,38463.9754511546,18.8626554963189,75.8295487668425,56.22,68.69,62.518,73.021,85.323,79.015,81.6274208180491,76.059,68.736,138085.0,35.81,41.76,42.032,,,,18.457,22.98,22.98
1994,BRN,1.79554347105246,40.673,1.13817229259235,5.66847934213144,64.086,4.53030704953909,94.3315206578686,0.416970621393992,250193.642857053,23.3047615889648,74.9005239074209,39.787,55.289,48.052,51.51,84.089,69.516,60.3853475204998,81.952,67.382,126837.0,13.305,,15.355,,,,3.961,,4.892
1994,BTN,71.8471830099444,50.664,0.118685824237084,74.5176140552788,69.257,74.3984786635257,25.4828355122372,48.2736607383697,10077.2393730838,5.33546728047618,22.8177992770954,43.02,62.474,52.917,57.612,84.478,71.742,67.0352893147461,83.283,70.249,225623.0,4.629,,4.257,,,,1.414,,1.413
1994,BWA,15.626363495182,29.089,2.630975652444,19.6116519214035,48.727,16.9806762689595,80.3883480785965,0.918487330741717,39552.2586240225,26.3972667236921,57.9763697811259,40.966,51.302,46.014,51.46,76.483,63.483,64.8824220658331,75.737,61.836,514808.0,33.585,,36.782,,,,19.899,21.2,21.2
1994,CAF,77.2078097238654,49.14,0.972976873044023,94.6362056935586,68.652,93.6633108106446,5.36371231631136,52.2260730253292,3416.23051128258,7.13510907556948,15.656999210435,53.932,56.365,55.143,66.708,79.347,73.099,82.8699856462945,79.422,72.686,1291329.0,10.404,,10.887,,,,5.09,,5.551
1994,CAN,3.34804365259885,53.765,6.1379869783042,15.5332812691802,58.02,9.39529429087604,84.4667187308198,0.436381572624767,88757.5255630719,22.6692637701459,73.9827000213721,61.862,65.898,63.925,67.754,82.065,74.946,77.9297678116177,72.958,64.751,14916387.0,17.893,15.898,15.894,,,,10.883,10.395,10.395
1994,CEB,21.5297757231194,30.0615595781467,3.69986414059239,24.3013611842461,50.0100531239342,20.6014970377239,75.6986364963302,6.09496824644925,38868.5843445287,34.2309968390374,44.2392228337199,35.7695127466677,44.7399029475846,40.3317967635803,57.9898856884994,71.9869077407349,64.8973049126438,75.6945023051871,64.8166373857836,56.549058479449,49004050.0,25.0911817036077,,25.7043774771411,,,,10.9884822418785,11.5694581689929,11.5636400442004
1994,CHE,4.8369904607556,61.476,3.79461003309086,18.0684991245781,61.717,14.2738609745173,81.9315008754219,3.44559408486433,120979.044761345,27.2306668417417,67.9323708144727,64.753,65.426,65.094,64.207,87.929,76.107,67.553053157183,76.904,64.008,3688719.0,4.868,5.551,5.557,,,,3.089,3.58,3.58
1994,CHI,4.843327250991,45.499,4.92827030768263,18.3539923236645,53.475,13.4257220159819,81.6460076763355,2.50739319197131,,24.7907883974077,70.3658843516013,50.119,57.593,53.759,57.091,81.656,69.23,65.5345733352265,70.43,57.786,69745.0,15.051,,15.365,,,,6.879,,7.46
1994,CHL,16.2184813577523,38.431,3.24162039426544,25.7038793193089,51.929,22.4622589250434,74.2961206806911,1.24771946541433,37713.7297099989,26.0574401672802,57.7240784749675,31.149,56.656,44.08,38.097,80.332,59.206,45.5905511811024,76.2,55.167,5619145.0,11.754,13.18,12.814,,,,5.438,5.87,5.87
1994,CHN,54.2999033143825,69.585,3.54137731834755,67.4269413864465,75.027,63.885564068099,32.5730586135535,28.0163422244089,4650.90000481948,22.6995776689319,23.0005190166856,74.445,73.05,73.729,77.13,87.177,82.262,85.3043540876578,83.324,77.267,664565882.0,6.326,,5.621,,,,3.216,2.8,2.9
1994,CIV,55.4141464831045,49.396,0.826700099198922,81.924692386838,62.137,81.0979922876391,18.075307613162,27.3760389957599,13643.9016467384,11.5122289130178,33.0736246038777,41.735,64.406,52.927,48.66,82.214,65.696,58.5562472642381,82.244,65.436,4965064.0,6.871,,6.671,,,,4.996,,5.041
1994,CMR,68.9430312969371,61.971,3.86172377008886,85.8489345206752,75.052,81.987191319943,14.1510654793248,15.2501986783276,8696.40233752569,9.29303547452546,21.7639332285374,68.19,74.218,71.21,78.812,87.47,83.087,89.3755385764348,87.035,82.321,5644972.0,15.794,,12.974,,,,10.441,,8.83
1994,COD,71.9332815967052,39.819,1.29149252728801,88.7742963548007,69.562,87.4828038275127,11.2257036451993,31.876234510922,3277.42607614665,8.16768026643136,19.8990381368634,48.286,35.973,42.133,72.731,72.529,72.632,99.359063096985,72.238,72.002,17151049.0,7.169,,5.494,,,,4.221,,3.389
1994,COG,45.8518763567698,28.094,1.08686465746015,79.1078582174067,54.754,78.020872824037,20.8921417825933,6.87699667010362,24585.2290226814,22.5970535608642,31.551070082366,46.42,46.021,46.219,67.281,71.992,69.617,93.0286806345995,71.163,68.641,1038328.0,39.814,,39.216,,,,18.969,,20.232
1994,COL,18.6601457479786,48.126,4.81265611055057,49.1906621301516,62.14,44.3780130375798,50.8093378698483,5.47471116982196,26939.7714904793,21.3584392632891,59.981422006711,47.493,66.505,57.096,56.517,84.474,70.393,65.2025384166505,82.256,67.727,15530344.0,10.396,13.36,15.712,,,,5.377,8.25,8.25
1994,COM,60.5545670225385,15.735,5.30941083432187,72.7589956504547,40.126,67.4495848161328,27.2410043495453,17.504942665085,13259.106860031,14.2546461051799,25.1907868722815,16.797,18.174,17.455,33.152,52.936,42.624,61.0658616696095,52.671,42.048,106006.0,11.189,,9.852,,,,4.359,,4.57
1994,CPV,34.9575514231757,45.586,5.19335794613539,53.1611004304405,52.053,47.9685931571873,46.8397502424418,22.630450686493,8605.57495731391,14.3270326828521,50.7162665668544,43.66,73.261,58.566,45.1,82.737,62.73,52.2536857022102,80.446,59.842,135145.0,21.877,,22.163,,,,12.873,,13.016
1994,CRI,18.0623879306016,48.097,2.96762196633099,24.7117174174675,54.711,21.7440954511365,75.2882825825325,3.48214907598933,34617.7514614426,26.1070067367173,55.8306863223096,35.329,69.201,52.415,37.283,83.469,60.23,43.3489651722629,79.965,57.02,1286844.0,6.844,,8.237,,,,3.377,,4.05
1994,CSS,18.4859839471629,35.2590010554673,4.1476830404376,27.033442083105,51.9747820016142,22.8857590437227,72.9664241696639,4.47953271564213,40778.9188693463,19.2500264302897,62.2639896225474,37.4241164597469,61.5197610486691,49.5071973369236,49.1551928641564,80.5840725701996,64.7657817006611,60.7879159730886,76.7148753090257,60.9475743937036,876749.0,25.0749465522979,,28.3530015421797,,,,12.4199093215969,,14.722150252809
1994,CUB,25.4648695226563,35.496,1.18103709981251,7.64588062950065,48.118,6.46484352968814,92.3541438921674,1.14033113079711,,23.0892348405822,51.4459201584296,29.728,53.739,42.061,38.354,78.371,58.597,47.6460117454133,71.347,52.762,4471568.0,12.16,,15.608,,,,6.142,,8.801
1994,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74,
1994,CYP,11.102794078865,46.476,4.5591247759063,24.4426626460771,59.041,19.8838042519865,75.5573373539229,2.77703042879481,50233.8370377603,26.1528339029464,62.7443720181886,43.533,54.144,49.12,52.36,83.275,68.287,60.0201076819282,75.593,60.68,385822.0,4.219,,5.383,,,,1.999,2.7,2.7
1994,CZE,7.41213588939496,47.572,3.12542277030181,10.3391181514258,59.035,7.213695381124,89.6608818485742,0.393285564605802,53006.8443933534,42.0684533422062,50.5194107683989,43.785,60.078,52.114,64.361,80.455,72.394,73.585433390205,71.506,61.677,5148804.0,7.794,8.715,8.716,,,,3.539,4.284,4.284
1994,DEU,3.25803907525077,50.006,4.24566720775265,10.6311239690849,53.562,6.38545949000138,89.3688760309151,1.35665061108681,100466.238738344,36.8950796448026,59.8468840086157,52.858,56.886,54.927,61.654,80.341,71.18,68.3135189008329,70.235,58.684,39987604.0,9.432,8.962,8.96,,,,7.549,8.727,8.727
1994,DJI,2.70860684846006,9.759,20.8606848460065,54.9447947829456,25.932,34.0841099369391,45.0562813421432,2.67524697070788,,4.85762865075436,92.4348406258743,17.625,32.975,25.303,16.764,57.208,36.687,29.0245608999085,55.739,35.574,127477.0,60.653,,61.433,,,,23.678,,27.103
1994,DNK,5.04541795032511,62.012,2.7228091523299,9.88035436597668,59.323,7.15750611248856,90.1196456340233,1.43294014512004,100309.733592591,26.5139088684946,68.4406731811803,65.853,72.097,69.04,73.344,83.925,78.708,81.1426489954888,71.378,64.506,2780928.0,10.176,10.179,10.18,,,,7.214,8.036,8.036
1994,DOM,20.8968225964125,41.374,3.22529891194317,39.7703183959308,53.755,36.5450580470508,60.2296816040692,4.5619332434814,24839.8852830335,26.0965889042498,53.0065884993377,30.065,63.348,46.883,38.587,80.21,59.403,46.5703648927761,78.434,57.363,2767220.0,7.929,,11.749,,,,4.2,,6.29
1994,DZA,23.8213564225538,23.029,7.08659016880195,39.9707265878093,33.058,32.8841364190074,60.0292734121907,10.6138848116124,52388.2047445328,24.9623845311988,51.2162590462474,15.427,65.53,41.456,12.226,81.601,48.198,14.7923441777961,77.797,45.749,7671789.0,46.994,,44.45,,,,28.044,27.74,27.74
1994,EAP,54.0523568197845,64.9601048318081,3.16216620990463,67.9094719949648,72.9568964448901,64.7473057850591,32.0905281204353,28.2673522048476,6744.03036262016,20.9420046385024,25.0056385417151,67.8574200728452,70.5308084311193,69.2230688062624,72.5238871206235,86.2018069757675,79.451979513698,81.9098421114098,82.8403405315576,75.1543328343345,892651715.0,6.77849921390155,,6.47217012387612,,,,3.11158185280744,3.11860321825038,2.92467103828283
1994,EAR,51.5857773360435,40.1590892940803,2.4588025073562,69.5370174828452,54.7552327788196,67.0782148418722,30.4629835860683,18.7808192570644,15856.9167873684,16.86014418101,31.5540786205003,30.7602086014157,63.6971423678245,47.607033226978,37.0065902284235,83.6447312144698,60.7445216739842,44.9709893830729,81.5955509165015,58.7536951019899,803078918.0,16.0584521395062,,16.3683986736231,,,,6.56937697144014,4.25708761556292,6.8054630258792
1994,EAS,48.8021530290571,62.7401500620443,3.30361137202469,62.8942654808906,71.323275515506,59.590654108829,37.1057346203433,25.8269800440418,13407.6193442036,22.3530654634368,28.8447815089696,65.7829358480279,67.9958938101988,66.9139834772858,70.5025752893786,85.6624007676786,78.1842911081549,80.0043032348113,81.9586969622793,73.5052926479396,1005576980.0,6.83056259092697,,6.51097427025673,,,,3.13872557807517,3.14106440962603,2.96925133669627
1994,ECA,33.8032024549914,39.1337119140505,3.73358629937454,38.4994034868607,55.3398319522564,34.7658136143774,61.5005929074007,12.1640651786149,24065.4572332434,24.7548547168652,41.4419403668957,37.8711745642241,53.3550385979144,45.6727948000507,54.7213426444156,76.978383286041,65.6431853903315,68.572384136736,72.1623901822788,59.589692772837,88713727.0,13.5966518669108,,13.8231043068951,,,,7.14108382401939,,7.13209552910351
1994,ECS,15.3464716164988,38.7001716856473,3.5624450913129,20.2803105764365,52.3505848740526,16.7178634979889,79.7196885720965,4.7473780616756,63800.8704575699,29.8055103712924,54.8480171462205,42.6961521249031,52.4581407879957,47.6570364600386,58.4095770346512,77.2224691967096,67.7254846508566,70.4747195147191,68.8393341304207,57.9417645303159,387276157.0,18.9383530337341,21.0400452708559,19.6074248529828,,,,9.13861183890908,9.76676133383447,9.64971931139526
1994,ECU,27.4539708870349,43.505,7.93586621844223,46.7013801204275,60.649,38.7655139019853,53.2985967115277,11.0454116845717,24983.8260549564,22.7985144649688,49.7474914799515,38.704,57.089,47.982,49.464,80.122,64.768,60.2047626843305,79.409,63.454,4515889.0,7.775,,9.332,,,,3.482,6.68,4.419
1994,EGY,35.1757329972323,23.004,16.760714361305,43.6090540720244,43.537,26.8483397107193,56.3909459279756,13.8067240875474,31333.0854411265,21.4965348919921,43.3277321107755,21.542,44.426,33.393,24.839,76.485,51.051,31.0368908048293,74.463,48.88,18936961.0,23.266,,31.111,,,,7.259,10.93,10.93
1994,EMU,6.80957292517211,35.7664190424731,5.19834048026373,18.4064011044094,48.4180597860028,13.2080621926771,81.5935988929638,3.02170630408999,97994.971352815,31.6772360938719,61.5131909804119,43.170512968811,49.7796372148402,46.5433045086549,55.1540217581519,77.3144981272638,66.2663942642991,65.96289761838,66.8232465647492,54.8566633071004,145208497.0,23.4366272067729,25.0719318233269,25.0311788907508,,,,10.0984666059366,11.7405641076571,11.7369455914828
1994,ERI,68.0996478929812,66.174,1.97830012272456,78.1097946062989,76.04,76.1314944835743,21.8902053937011,28.2591527432585,,7.52129759284366,24.3791781038623,69.209,77.595,73.362,76.004,88.779,82.191,84.0710086192134,87.595,80.368,855186.0,9.089,,9.797,,,,4.907,,5.385
1994,ESP,9.49024305960662,23.888,6.74156847946994,26.1254664044173,38.129,19.3838979249474,73.874525647991,4.11846584776801,103734.772018945,30.2595015842729,60.2502553561205,39.211,47.266,43.347,45.174,76.23,60.738,55.7488293544177,65.135,50.307,16472363.0,41.033,44.946,44.892,,,,19.826,24.209,24.209
1994,EST,14.1567085807205,47.258,2.17607437596568,7.79566051825743,58.288,5.61958614229176,92.2043394817426,2.02289193715396,30358.157165427,32.4892588179324,53.3540326013471,44.179,62.108,53.301,67.409,81.257,74.067,74.6939054386444,73.18,63.056,727896.0,10.995,11.337,11.336,,,,7.227,7.561,7.561
1994,ETH,77.2254500990135,71.089,0.912366361447459,90.4310618684946,79.283,89.5186955070471,9.56893813150538,40.1187356298926,1748.18672283324,6.49674118516778,16.2778087158187,69.925,79.087,74.461,76.602,89.683,82.981,83.7010078387458,89.3,81.82,24332008.0,4.209,,4.528,,,,2.961,3.1,3.1
1994,EUU,9.96706512881666,34.6495577102561,4.84580567903973,19.7191811664222,48.9546271712533,14.8733749033707,80.2808182403788,3.65961340489877,85578.2142644937,32.0364355855835,57.9964986968223,41.6247534520838,48.5744614916713,45.1685326530624,56.2024341146988,76.1380306417168,66.1727104337101,68.7648680203747,66.28932619338,55.3464887393867,192217103.0,23.5488789172302,25.0042944031954,24.8895858358205,,,,10.1749949007483,11.5481837907908,11.5487582472721
1994,FCS,55.3012388646141,53.1506714016762,5.66146651881335,74.4800510116095,65.4418600502211,68.818584004527,25.5199494766515,25.9633500169072,9652.98778164316,13.5842577437744,31.1145034230533,51.4651923293462,64.0383512824034,57.7700857665626,61.6900066379606,80.8254179791231,71.1143090486261,77.745614805075,79.1106421973055,68.5841235922856,214639443.0,9.60703723779254,,9.45558520095979,,,,4.92513894564634,,4.58179010647638
1994,FIN,8.73407787851689,31.86,3.79868848112975,16.6952106604373,50.575,12.8965221793075,83.3047893395627,1.27141640003727,87194.9055707774,26.3493880891341,64.9165820592594,41.1,51.242,46.283,69.021,76.249,72.671,81.9450684398119,66.774,60.516,2491361.0,31.51,31.164,31.162,,,,17.802,16.426,16.426
1994,FJI,16.0442752147348,40.397,0.935800938634552,40.5798282121668,56.864,39.6440272735323,59.420525989551,15.8172319135748,24666.8333961492,18.029221641725,65.9265031435402,31.946,58.187,45.208,40.481,81.038,60.806,49.6792658892055,79.661,59.613,295976.0,7.938,,10.642,,,,3.995,5.7,4.611
1994,FRA,5.1869719984837,26.107,5.03461509502776,14.1077261275094,48.132,9.07311103248166,85.8922738724906,2.29364011007544,102997.280909621,26.8292120327441,67.9838159687722,34.471,38.406,36.46,59.917,74.276,67.055,74.9546021569897,63.329,55.067,26228093.0,26.724,28.787,28.396,,,,11.039,12.593,12.593
1994,GAB,42.9593852908891,14.294,0.703323021654525,49.4872767188903,39.735,48.7843528589961,50.5127232811097,3.33619399261551,103974.519166422,9.57429398263646,47.4659215647141,19.685,29.112,24.389,39.266,62.929,50.889,61.688063642856,60.211,48.336,304752.0,41.047,,41.392,,,,18.543,,17.794
1994,GBR,2.07879815857444,54.061,2.89981085528304,13.867373468283,54.959,10.9675587135913,86.132626531717,0.565761304561209,81128.1229350954,27.7806741718845,70.140527669541,60.028,69.003,64.566,66.068,83.461,74.665,73.4986335122276,70.619,60.827,28315845.0,19.249,16.355,16.27,,,,11.455,9.648,9.648
