year,country,"Access to electricity, urban (% of urban population)",Population density (people per sq. km of land area),Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million (% of total population),Urban population growth (annual %),Urban population,Urban population (% of total population)
1960,GNB,,,32.547926372871,,,78558.0,13.6
1960,GNQ,,,21.8211636986401,,,68901.0,25.537
1960,GRC,,,38.9166760005613,21.7684333076284,,4660434.0,55.936
1960,GRD,,,,,,28530.0,30.332
1960,GRL,,,,,,19024.0,58.534
1960,GTM,,,47.8242992132211,14.8833993043209,,1264650.0,31.121
1960,GUM,,,,,,34865.0,50.147
1960,GUY,,,,,,165103.0,29.009
1960,HKG,,,98.4112371405962,83.846383775365,,2653700.0,85.2
1960,HND,,,27.3222657374264,6.21499859363937,,469057.0,22.747
1960,HPC,,,29.488433714942,4.33752428183646,,20323558.0,12.4188743674623
1960,HRV,,,34.4197912578198,,,1248430.0,30.154
1960,HTI,,,41.1362476668212,6.41437491755094,,601647.0,15.593
1960,HUN,,,32.4449278914021,18.1402843178468,,5582136.0,55.911
1960,IBD,,,15.8295335756289,10.6806188755794,,494111316.0,26.0923620348179
1960,IBT,,,16.8583679459149,9.83276293076311,,548103154.0,23.9534263219406
1960,IDA,,,26.4058076193383,5.42011398884596,,53991838.0,13.6860535000967
1960,IDB,,,20.1074514410791,,,22492539.0,18.6193712500776
1960,IDN,,,20.7995036829721,7.9772270725073,,12878865.0,14.586
1960,IDX,,,30.8513105524368,4.15593239997745,,31499299.0,11.5086619685366
1960,IMN,,,,,,26938.0,55.123
1960,IND,,,7.56294797997638,7.80380504670725,,78146908.0,17.924
1960,IRL,,,51.7342096512333,23.3755921657357,,1278075.0,45.184
1960,IRN,,,25.854201496027,15.2756250758601,,7243051.0,33.735
1960,IRQ,,,33.8201560886871,20.3344122202456,,3012390.0,42.899
1960,ISL,,,,,,140986.0,80.3
1960,ISR,,,45.4367954341486,46.9609086006755,,1624582.0,76.848
1960,ITA,,,8.24046905665833,15.8505050826997,,29799044.0,59.361
1960,JAM,,,75.4864588380983,,,557190.0,33.769
1960,JOR,,,50.2289067285682,25.5559942868592,,434238.0,50.879
1960,JPN,,,28.2789525223862,40.2494603930656,,58979628.0,63.272
1960,KAZ,,,12.6840301612601,6.7751143931255,,4167863.0,44.198
1960,KEN,,,51.6517248013782,5.88571710004552,,566529.0,7.362
1960,KGZ,,,31.777852000097,,,742514.0,34.181
1960,KHM,,,69.4486815133561,7.14279685414551,,560529.0,10.285
1960,KIR,,,,,,7682.0,16.29
1960,KNA,,,,,,15428.0,27.644
1960,KOR,,,34.0675254356234,21.8102008230006,,6930929.0,27.71
1960,KWT,,,76.7069307440699,57.4480807561242,,232962.0,74.893
1960,LAC,,,26.8782767800182,22.8215092436581,,93218024.0,48.005146646345
1960,LAO,,,45.0289483675019,,,168576.0,7.946
1960,LBN,,,73.8226255420799,31.2587006508003,,759805.0,42.343
1960,LBR,,,35.3515514610298,6.5867091640179,,212316.0,18.632
1960,LBY,,,42.7134458767057,11.6705852407076,,407902.0,27.323
1960,LCA,,,,,,19869.0,21.46
1960,LCN,,,28.5283162993743,23.474508844985,,108121381.0,49.4562065358754
1960,LDC,,,31.3875829027669,3.47784126684966,,23650401.0,9.65130868387428
1960,LIE,,,,,,3362.0,20.437
1960,LKA,,,30.548869485462,,,1587463.0,16.431
1960,LMY,,,17.6014033296423,9.4570218525294,,454311792.0,21.5780564349422
1960,LSO,,,,,,25866.0,3.512
1960,LTE,,,13.7076679593251,10.3733379500486,,287188270.0,26.2301119943713
1960,LTU,,,22.7734728424248,,,1096416.0,39.46
1960,LUX,,,,,,218385.0,69.556
1960,LVA,,,53.2745978321552,,,1121298.0,52.867
1960,MAC,,,96.8162276718135,,,165150.0,95.289
1960,MAR,,,28.3290923518167,13.9504718005687,,3412732.0,29.357
1960,MCO,,,,,,21808.0,100.0
1960,MDA,,,46.3166214105391,,,482071.0,23.424
1960,MDG,,,46.3485170504269,4.93241184896427,,543916.0,10.642
1960,MDV,,,,,,10189.0,11.173
1960,MEA,,,33.2884138660503,16.5815770391879,,36070935.0,34.9561690833268
1960,MEX,,,29.3965870415569,26.1324482230787,,18638844.0,50.753
1960,MHL,,,,,,5232.0,35.584
1960,MIC,,,17.2830675136185,9.79815198408368,,435977985.0,22.1386330781644
1960,MKD,,,39.0535162338926,,,488207.0,34.02
1960,MLI,,,21.7475737899058,2.40658577893772,,597846.0,11.066
1960,MLT,,,,,,294316.0,90.129
1960,MMR,,,38.1054358477478,8.47843444046893,,4177858.0,19.226
1960,MNA,,,32.5930038122624,15.6818890805237,,32807553.0,33.7739261303682
1960,MNE,,,,,,90291.0,18.788
1960,MNG,,,51.3374579983715,18.3166853349291,,348796.0,35.679
1960,MNP,,,,,,4474.0,51.219
1960,MOZ,,,39.3025762475141,2.98084735752816,,461097.0,6.868
1960,MRT,,,9.26435322330371,0.637390846514246,,56712.0,6.88
1960,MUS,,,,,,237590.0,35.111
1960,MWI,,,31.5171872547481,0.291554832318762,,159275.0,4.39
1960,MYS,,,16.2332854012567,4.31772868369147,,2116189.0,26.598
1960,NAC,,,11.6650072012451,37.9539091973428,,138873061.0,69.9180690805905
1960,NAM,,,33.6596648572103,,,105925.0,17.909
1960,NCL,,,,,,29820.0,37.36
1960,NER,,,28.3420669004373,1.64185960257343,,203048.0,5.793
1960,NGA,,,10.9814385805818,4.76211297866181,,6942788.0,15.41
1960,NIC,,,28.1501956114986,11.1421309829048,,705480.0,39.581
1960,NLD,,,13.6586157600242,15.9549566796391,,6863492.0,59.752
1960,NOR,,,32.3335132610453,16.1408942547537,,1787755.0,49.92
1960,NPL,,,33.8279832984675,1.17721282168955,,352303.0,3.48
1960,NRU,,,,,,4607.0,100.0
1960,NZL,,,24.4193548923979,18.5582258200523,,1802521.0,75.998
1960,OED,,,17.8685590996584,26.114521778894,,503083484.0,62.1412419769298
1960,OMN,,,15.8528735632184,2.59988501088626,,87000.0,16.4
1960,OSS,,,,,,2055885.0,37.6614583860382
1960,PAK,,,18.3432397170668,11.3198580332978,,10103586.0,22.104
1960,PAN,,,60.9075798874406,25.1237783135954,,464466.0,41.249
1960,PER,,,36.8688519805628,17.2586797864819,,4762611.0,46.811
1960,PHL,,,26.9067955062051,8.97775436357018,,8450408.0,30.297
1960,PLW,,,,,,5300.0,56.823
1960,PNG,,,39.1600958045157,,,74318.0,3.725
1960,POL,,,7.8849057571498,3.77623918387041,,14193968.0,47.892
1960,PRE,,,24.8875992216421,4.83771211326553,,25378148.0,13.4332575172658
1960,PRI,,,56.7651163632002,25.2871501272265,,1050418.0,44.547
1960,PRK,,,13.7056107958314,5.50897030807852,,4712041.0,40.195
1960,PRT,,,48.8937622225847,26.5770205321552,,3096215.0,34.955
1960,PRY,,,57.4614111265518,20.4384464357578,,669947.0,35.569
1960,PSE,,,,,,,44.044
1960,PSS,,,,,,201158.0,22.0538902808841
1960,PST,,,17.7100583508537,26.4642741231686,,478473004.0,63.2583343460637
1960,PYF,,,,,,35377.0,42.281
1960,QAT,,,100.0,,,30708.0,85.275
1960,ROU,,,15.9175634423609,5.44523916432447,,6296818.0,34.209
1960,RUS,,,9.57743425496101,15.4033795674621,,64421857.0,53.731
1960,RWA,,,43.6739628404174,1.13552817826459,,78580.0,2.6
1960,SAS,,,9.78620755047051,7.32248313077321,,93628943.0,16.6403034845216
1960,SAU,,,20.5894912773318,22.4443757357612,,761063.0,31.25
1960,SDN,,,38.5589109615864,4.14354062752668,,898848.0,10.746
1960,SEN,,,46.7325343664637,10.7484883595982,,768409.0,23.0
1960,SGP,,,99.1913265306122,99.1913265306122,,1646400.0,100.0
1960,SLB,,,,,,8057.0,5.768
1960,SLE,,,30.2376748262852,5.2468395613387,,393605.0,17.352
1960,SLV,,,29.0662746255497,11.1480770450148,,1070636.0,38.354
1960,SMR,,,,,,7544.0,48.9
1960,SOM,,,18.8619339291093,3.26537522976319,,497950.0,17.312
1960,SRB,,,33.0698186163974,9.61141390138744,,1929557.0,29.064
1960,SSA,,,22.4624413763982,5.78268173036802,,33310167.0,14.6314549268485
1960,SSD,,,6.42495895934148,,,256453.0,8.748
1960,SSF,,,22.4624413763982,5.78268173036802,,33321707.0,14.6338432678787
1960,SST,,,,,,2880822.0,35.6343940243764
1960,STP,,,,,,10932.0,16.073
1960,SUR,,,,,,124728.0,47.26
