year,country,Access to electricity (% of population),Electricity production from coal sources (% of total),Electricity production from oil sources (% of total),GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),Alternative and nuclear energy (% of total energy use),Combustible renewables and waste (% of total energy),Energy use (kg of oil equivalent per capita),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: energy depletion (% of GNI),Adjusted savings: natural resources depletion (% of GNI),Mineral rents (% of GDP),Oil rents (% of GDP),Total natural resources rents (% of GDP)
1970,AFE,,,,,,,,,1.55006512333284,,,3.58864795926185,,5.15345649586112
1970,AFG,,,,,,,,,0.0,0.224442660302065,0.503854339896009,0.0,0.0265662947026768,0.87755385017819
1970,AFW,,,,,,,,,0.127583028733522,,,0.207041405018303,,3.0298531638716
1970,AND,,,,,,,,,,,,0.0,,0.0
1970,ARB,,,,,,,,,0.0648639006132167,,,0.174852273462901,12.7006148326008,13.0944328400447
1970,ARG,,,,,,,,,0.0126129855292655,0.143853940940776,0.156466926470042,0.0256683352038599,0.183779149216649,0.301180697327039
1970,AUS,,,,,,,,,0.439197211289235,0.0321861129592739,0.677521714469096,1.47068573125166,0.0153710223028318,1.82573261827896
1970,AUT,,,,,,,,,0.00995744191639409,0.0398692992053412,0.0861737681834657,0.0186908505302563,0.0133840215274099,0.400546341519539
1970,BDI,,,,,,,,,0.0,,,0.0,,6.75179243610598
1970,BEL,,,,,,,,,0.00764045471717188,0.0055771073911455,0.0571356552432059,0.0178062285873166,,0.166720805852942
1970,BEN,,,,,,,,,0.0,,,0.0,,6.70734124614113
1970,BFA,,,,,,,,,0.0,,,0.0,,6.82211867501044
1970,BGD,,,,,,,,,,,,0.0,0.000599113644161149,0.326560893035859
1970,BHS,,,,,,,,,0.0,,,0.0,,0.906985201999454
1970,BLZ,,,,,,,,,0.0,,,0.0,,0.993307334043983
1970,BMU,,,,,,,,,,,,0.0,,0.0
1970,BOL,,,,,,,,,,,,1.05118143849649,0.414649790617165,1.99545883045688
1970,BRA,,,,,,,,,0.178979258859589,0.0477282404827449,0.226707499342334,0.489549107599451,0.0580871342065977,1.61330030982628
1970,BRN,,,,,,,,,,,,0.0,2.74112553444977,3.1223848976925
1970,BWA,,,,,,,,,0.0,,,0.0,,3.1539871567487
1970,CAF,,,,,,,,,0.0,,,0.0,,8.23424630585922
1970,CAN,,,,,,,,,0.964789534160587,0.19593403159628,1.16072356575687,1.29973721082201,0.426218710916176,1.97883548476178
1970,CHI,,,,,,,,,0.0,,,,,
1970,CHL,,,,,,,,,5.5434062316448,0.0280726270702572,5.57147885871506,9.59895832358477,0.0562266313632991,10.1337971525781
1970,CHN,,,,,,,,,0.107793075243857,0.0106317471383388,0.118424822382196,0.190311947728461,0.0239932527380286,0.840416943708215
1970,CIV,,,,,,,,,0.0,,,0.0,,5.88211960748263
1970,CMR,,,,,,,,,0.0,,,0.0,,3.9056080686076
1970,COD,,,,,,,,,,,,8.92290452712947,,11.5046853227158
1970,COG,,,,,,,,,0.0305375028034712,8.92051707333205e-05,6.7758502460738,0.0548569620412514,0.0115602838766326,6.64483208044262
1970,COL,,,,,,,,,0.00302215906157693,0.424059139560271,0.427081298621848,0.017180319796966,0.453852135192152,0.971130535161595
1970,CRI,,,,,,,,,0.0,,,0.0,,4.1381093479382
1970,CSS,,,,,,,,,0.954635729839136,,,7.49258319594795,,9.40203750060468
1970,CUB,,,,,,,,,0.160954282514986,0.000706335993122157,0.276805260822552,0.753701855139697,0.00477129606050145,0.871413245874392
1970,DEU,,,,,,,,,0.00594748430216966,0.136835328456606,0.142782812758776,0.00792984334552876,0.003119345734465,0.243896617794209
1970,DNK,,,,,,,,,0.000250550072223867,0.0,0.0109554252177682,0.000566697404442834,,0.0681236895703212
1970,DOM,,,,,,,,,0.0383439725656392,,,0.666930707104093,,0.728567422733497
1970,DZA,,,,,,,,,0.0303426491361419,5.24749962568339,5.27784227481953,0.171412475450066,7.16190012707325,7.89139762018415
1970,EAP,,,,,,,,,0.154145595252066,0.0227169422363484,0.773935177552714,0.337017629268847,0.0511638838300498,1.82443907184346
1970,EAR,,,,,,,,,0.19295667230113,0.9294325029413,1.24703796393002,0.432032856944124,1.71922893210626,2.76735850337006
1970,EAS,,,,,,,,,0.120742049991111,0.0122672119346205,0.320763277900064,0.317138045674168,0.0191589474460326,0.880566519822175
1970,ECA,,,,,,,,,0.113443208666466,0.0211290067548634,0.134572215421329,0.214782947317114,0.0156688439786595,0.691508496870238
1970,ECS,,,,,,,,,0.0148270716320689,0.0517991436301162,0.0914179372896821,0.0301519526113887,0.00227019499188437,0.239865970403647
1970,ECU,,,,,,,,,0.00372371337738834,0.00184467726411542,0.587402012514263,0.006502124337566,0.0208366992407299,0.603234396539406
1970,EGY,,,,,,,,,0.00210631433854912,0.890668170752944,1.23277533783183,0.0141167286619055,1.35975091695316,1.717488987232
1970,EMU,,,,,,,,,0.0114770449953006,0.0578348255242684,0.102715815746727,0.0255459999460736,0.00233756319157647,0.224205208837496
1970,ESP,,,,,,,,,0.0335939470257959,0.00157696648940813,0.035170913515204,0.0642976447970917,0.000309180389037009,0.200852856603392
1970,EUU,,,,,,,,,0.0138511380497502,0.0532239233704825,0.0980807317625377,0.0285448520643152,0.00233756319157647,0.25238693542215
1970,FCS,,,,,,,,,,,,1.25520439128528,,2.67043137470731
1970,FIN,,,,,,,,,0.188674276143106,0.0,0.188674276143106,0.325802368759018,,1.79143661882966
1970,FJI,,,,,,,,,0.0,,,0.0,,0.341381423379229
