year,country,"Foreign direct investment, net outflows (BoP, current US$)","Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)","Portfolio equity, net inflows (BoP, current US$)","Personal transfers, receipts (BoP, current US$)","Personal remittances, received (current US$)",Market capitalization of listed domestic companies (current US$),Market capitalization of listed domestic companies (% of GDP),"Listed domestic companies, total","Stocks traded, total value (current US$)","Stocks traded, total value (% of GDP)","Automated teller machines (ATMs) (per 100,000 adults)","Commercial bank branches (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)",Domestic credit to private sector by banks (% of GDP),Bank liquid reserves to bank assets ratio (%),Total reserves in months of imports,Monetary Sector credit to private sector (% GDP),Broad money (% of GDP),"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)","Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)","Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)","Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Net migration
1960,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2267.0
1960,CRI,,,,,,,,,,,,,,,27.0477170391388,,,27.0477170391388,19.646913501352,0.790205817960074,0.360076884455383,,,,,,,,,,910.0
1960,CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13827.0
1960,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25396.0
1960,CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1530.0
1960,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-24.0
1960,CYP,,,,,,,,,,,,,,,,,,,,0.827300930713946,,,,,,,,,,,3766.0
1960,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2748.0
1960,DEU,,,,,,,,,,,,,,,,,,,,1.53661234295201,,,,,,,,,,,212666.0
1960,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.0
1960,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-759.0
1960,DNK,,,,,,,,,,,,,,,26.496748524894,,,43.7348840108541,47.1943461099641,1.25523012552923,6.15420099736414,,,,,,,,,,-4047.0
1960,DOM,,,,,,,,,,,,,,,5.84473788432684,,,5.84473788432684,19.1998895894808,-3.56219179976055,5.56216785938483,,,,,,,,,,-13344.0
1960,DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55212.0
1960,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-102382.0
1960,EAR,,,,0.0,,,,,,,,,,,11.759203021141,,,11.9151395911294,20.9617708130694,,8.99320225059537,,,,,,,,,,46031.0
1960,EAS,,,,91840014.7054232,,,,,,,,,,,,,,,,,,,,,,,,,,,-40790.0
1960,ECA,,,,,,,,,,,,,,,17.6505139500734,,,17.6505139500734,14.6989720998532,,3.83259911894273,,,,,,,,,,207619.0
1960,ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-148155.0
1960,ECU,,,,,,,,,,,,,,,10.8949922385305,,,12.51164355401,8.71754082518931,1.67659912611285,0.580138031870635,,,,,,,,,,-1746.0
1960,EGY,,,,,,,,,,,,,,,16.9306389950847,,,17.4631348989623,33.1103222282905,0.332829047091752,17.790824685964,,,,,,,,,,-2954.0
1960,EMU,,,,,,,,,,,,,,,,,,,,1.74118084746923,,,,,,,,,,,-103429.0
1960,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.0
1960,ESP,,,,,,,,,,,,,,,,,,,,1.17777108409632,,,,,,,,,,,-154869.0
1960,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7762.0
1960,ETH,,,,,,,,,,,,,,,0.544827291383113,,,0.544827291383113,6.37048057676861,,0.682283718108211,,,,,,,,,,1696.0
1960,EUU,,,,,,,,,,,,,,,,,,,,1.74118084746923,,,,,,,,,,,-167571.0
1960,FCS,,,,,,,,,,,,,,,9.99223649242599,,,10.3590330475891,16.3590454128291,,0.145017068650393,,,,,,,,,,-18696.0
1960,FIN,,,,,,,,,,,,,,,,,,,,3.41812725350792,,,,,,,,,,,-9489.0
1960,FJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-981.0
1960,FRA,,,,,,,,,,,,,,,,,,,,4.13993575518437,,,,,,,,,,,143032.0
1960,FRO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-63.0
1960,FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.0
1960,GAB,,,,,,,,,,,,,,,8.21621614515705,,,8.21621614515705,15.5675674329291,,-0.317117114374483,,,,,,,,,,0.0
1960,GBR,,,,,,,,,,,,,,,17.3389409290767,,,17.3389409290767,39.8432422099025,1.00357570390172,29.642515771363,,,,,,,,,,19953.0
1960,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16740.0
1960,GHA,,,,,,,,,,,,,,,4.56846950517837,,,4.56846950517837,18.4004602991945,,-10.3912543153049,,,,,,,,,,12181.0
1960,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-338.0
1960,GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2272.0
1960,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8007.0
1960,GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0
1960,GRC,,,,,,,,,,,,,,,,,,,,1.47784758493376,,,,,,,,,,,-15996.0
1960,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2255.0
1960,GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.0
1960,GTM,,,,,,,,,,,,,,,10.0804915753633,,,10.0804915753633,12.8880809589959,-1.19069315346001,1.14028374284053,,,,,,,,,,-186.0
1960,GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-343.0
1960,GUY,,,,,,,,,,,,,,,11.240575736806,,,11.240575736806,21.3159698423578,,0.822481151473612,,,,,,,,,,-3837.0
1960,HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20811.0
1960,HND,,,,,,,,,,,,,,,9.93594518099211,,,9.93594518099211,15.1050201102339,-1.74623815710751,2.97929390734396,,,,,,,,,,-4085.0
1960,HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98188.0
1960,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21768.0
1960,HTI,,,,,,,,,,,,,,,1.42027152077403,,,3.67513558468332,10.1322463131508,-5.03004159593691,7.29902425882325,,,,,,,,,,-15862.0
1960,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1108.0
1960,IBD,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-404732.0
1960,IBT,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-475705.0
1960,IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-70973.0
1960,IDB,,,,,,,,,,,,,,,7.56220384723072,,,7.56220384723072,23.0316822958017,,9.60812140201782,,,,,,,,,,13791.0
1960,IDN,,,,,,,,,,,,,,,,,,,,39.5904436860068,,,,,,,,,,,101631.0
1960,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84764.0
1960,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-730.0
1960,IND,,,,,,,,,,,,,,,7.84313262772837,,,7.84313262772837,22.0719249364561,1.77987784677382,15.0000620392925,,,,,,,,,,146955.0
1960,IRL,,,,,,,,,,,,,,,,,,,,0.450837269431776,,,,,,,,,,,-38492.0
1960,IRN,,,,,,,,,,,,,,,,,,12.9368168053595,16.3698675833553,9.82241081297867,7.72122043109673,,,,,,,,,,54041.0
1960,IRQ,,,,,,,,,,,,,,,9.34394129921147,,,9.34394129921147,24.0611042032327,3.47823790409599,-0.14571448419823,,,,,,,,,,1573.0
1960,ISL,,,,,,,,,,,,,,,45.9887338774055,,,46.1640542829424,36.083130964569,1.98839723902034,0.306810709689624,,,,,,,,,,-269.0
1960,ISR,,,,0.0,,,,,,,,,,,11.4199030647511,,3.83490494752624,11.4199030647511,22.8398061295022,2.22811242067084,6.52565889414349,,,,,,,,,,10990.0
1960,ITA,,,,,,,,,,,,,,,,,,,,2.3501614137705,,,,,,,,,,,-140765.0
1960,JAM,,,,,,,,,,,,,,,15.7410331685198,,,15.7410331685198,20.3471879124887,3.27424913835588,-6.28840256350536,,,,,,,,,,-28952.0
1960,JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15509.0
1960,JPN,,,,,,,,,,,,,,,52.6157755963723,,,52.6157755963723,47.3377958800139,3.5745115253591,3.73149065407361,,,,,,,,,,-150371.0
1960,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83525.0
1960,KEN,,,,,,,,,,,,,,,,,,,,1.24378109452731,,,,,,,,,,,2134.0
1960,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13946.0
1960,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5339.0
1960,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1725.0
1960,KOR,,,,,,,,,,,,,,,4.86194477791116,,,5.74229691876751,11.3053221288515,7.96556575482592,2.73309323729492,,,,,,,,,,47245.0
1960,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21769.0
1960,LAC,,,,,,,,,,,,,,,15.2202135522727,,,17.8055522014252,20.445878050997,2.26687099162785,5.24349323301943,,,,,,,,,,-240297.0
1960,LAO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,LBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1960,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.0
1960,LBY,,,,,,,,,,,,,,,9.55073669224052,,,10.1084439443422,20.286601295197,,,,,,,,,,,,22559.0
1960,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2366.0
